group_key,priority,group_size,jp_type,rep_section,rep_index,rep_id_hex,rep_slot,ja,ja_tpl,ja_clean,locks,kr_tpl
、相手を見下してるようなではね。 足元をわれてオシュトルに敗北するのは当然かな。,110,1,normal,17,7,976A70C1,text3,"、相手を見下して<侮:あなど>るような<輩:やから>ではね。
足元を<掬:すく>われてオシュトルに敗北するのは当然かな。","、相手を見下して{{L000}}るような{{L001}}ではね。
足元を{{L002}}われてオシュトルに敗北するのは当然かな。","、相手を見下してるようなではね。
足元をわれてオシュトルに敗北するのは当然かな。","[""<侮:あなど>"", ""<輩:やから>"", ""<掬:すく>""]","、相手を見下して{{L000}}るような{{L001}}ではね。
足元を{{L002}}われてオシュトルに敗北するのは当然かな。"
から>ではね。 足元をわれてオシュトルに敗北するのは当然かな。,110,1,normal,17,9,413393DC,text3,"から>ではね。
足元を<掬:すく>われてオシュトルに敗北するのは当然かな。","から>ではね。
足元を{{L000}}われてオシュトルに敗北するのは当然かな。","から>ではね。
足元をわれてオシュトルに敗北するのは当然かな。","[""<掬:すく>""]","から>ではね。
足元を{{L000}}われてオシュトルに敗北するのは当然かな。"
うだね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,110,1,normal,17,50,7E20646A,text3,うだね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,うだね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,うだね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて,[],うだね。だからシノノンは、あのお姉さんと一緒にオシュトルを護ってあげて
にしてもまさか、ここまで無茶ぶりを要求されるとは想定していませんでしたよ,110,1,normal,17,58,B2556FF0,text3,\x8Cにしてもまさか、ここまで無茶ぶりを要求されるとは想定していませんでしたよ,{{L000}}にしてもまさか、ここまで無茶ぶりを要求されるとは想定していませんでしたよ,にしてもまさか、ここまで無茶ぶりを要求されるとは想定していませんでしたよ,"[""\\x8C""]",{{L000}}にしてもまさか、ここまで無茶ぶりを要求されるとは想定していませんでしたよ
トゥイは……好きにしたらいい。今回は止めんから、思う存分やってみろ,110,1,normal,17,62,0E0E8CC3,text3,トゥイは……好きにしたらいい。今回は止めんから、思う存分やってみろ,トゥイは……好きにしたらいい。今回は止めんから、思う存分やってみろ,トゥイは……好きにしたらいい。今回は止めんから、思う存分やってみろ,[],トゥイは……好きにしたらいい。今回は止めんから、思う存分やってみろ
見れば、自分達は皇女さんの寝室に潜入しヴライ将軍を襲撃したことになる。更には皇女さんの誘拐も追加か,110,1,normal,17,166,E06DA066,text3,見れば、自分達は皇女さんの寝室に潜入しヴライ将軍を襲撃したことになる。更には皇女さんの誘拐も追加か,見れば、自分達は皇女さんの寝室に潜入しヴライ将軍を襲撃したことになる。更には皇女さんの誘拐も追加か,見れば、自分達は皇女さんの寝室に潜入しヴライ将軍を襲撃したことになる。更には皇女さんの誘拐も追加か,[],見れば、自分達は皇女さんの寝室に潜入しヴライ将軍を襲撃したことになる。更には皇女さんの誘拐も追加か
ルを目の上の瘤にしている連中は、好機とばかりに罪を被せてくるはずだ,110,1,normal,17,170,5CA02B4E,text3,ルを目の上の瘤にしている連中は、好機とばかりに罪を被せてくるはずだ,ルを目の上の瘤にしている連中は、好機とばかりに罪を被せてくるはずだ,ルを目の上の瘤にしている連中は、好機とばかりに罪を被せてくるはずだ,[],ルを目の上の瘤にしている連中は、好機とばかりに罪を被せてくるはずだ
余計なことは喋らせず、皇女の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,110,1,normal,17,172,8EF9B47A,text3,余計なことは喋らせず、皇女の地位だけを利用するつもりだったのでしょうね。<体:てい>のいい<傀儡:くぐつ>といったところでしょうか,余計なことは喋らせず、皇女の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか,余計なことは喋らせず、皇女の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,"[""<体:てい>"", ""<傀儡:くぐつ>""]",余計なことは喋らせず、皇女の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか
ず、皇女の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,110,1,normal,17,173,269BA594,text3,ず、皇女の地位だけを利用するつもりだったのでしょうね。<体:てい>のいい<傀儡:くぐつ>といったところでしょうか,ず、皇女の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか,ず、皇女の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,"[""<体:てい>"", ""<傀儡:くぐつ>""]",ず、皇女の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか
の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,110,1,normal,17,174,8A0C6447,text3,の地位だけを利用するつもりだったのでしょうね。<体:てい>のいい<傀儡:くぐつ>といったところでしょうか,の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか,の地位だけを利用するつもりだったのでしょうね。のいいといったところでしょうか,"[""<体:てい>"", ""<傀儡:くぐつ>""]",の地位だけを利用するつもりだったのでしょうね。{{L000}}のいい{{L001}}といったところでしょうか
、兵に変装して突破を試みますか。いいですね、中々に緊張感あふれてワクワクします,110,1,normal,17,205,6349922A,text3,\x81\xA9、兵に変装して突破を試みますか。いいですね、中々に緊張感あふれてワクワクします,{{L000}}{{L001}}、兵に変装して突破を試みますか。いいですね、中々に緊張感あふれてワクワクします,、兵に変装して突破を試みますか。いいですね、中々に緊張感あふれてワクワクします,"[""\\x81"", ""\\xA9""]",{{L000}}{{L001}}、兵に変装して突破を試みますか。いいですね、中々に緊張感あふれてワクワクします
ば、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,110,1,normal,17,233,926197CF,text3,ば、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,ば、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,ば、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ,[],ば、事態を未だ把握し切れていないはずだ。強引に押し切る事も可能かもしれぬ
ことはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,110,1,normal,17,311,BDA62300,text3,ことはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,ことはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,ことはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません,[],ことはどうかよろしくお願い致します。最後までご一緒できず申し訳ありません
も駄目だ、皇女さんの護りが手薄になる。ウルゥル、サラァナが寝込んでる現状、人手を減らすのは不味い,110,1,normal,18,3,121F55E6,text3,も駄目だ、皇女さんの護りが手薄になる。ウルゥル、サラァナが寝込んでる現状、人手を減らすのは不味い ,も駄目だ、皇女さんの護りが手薄になる。ウルゥル、サラァナが寝込んでる現状、人手を減らすのは不味い ,も駄目だ、皇女さんの護りが手薄になる。ウルゥル、サラァナが寝込んでる現状、人手を減らすのは不味い ,[],も駄目だ、皇女さんの護りが手薄になる。ウルゥル、サラァナが寝込んでる現状、人手を減らすのは不味い 
くのが先決だ。かわりに連れ戻してくるから、みんなは先に行っててくれ,110,1,normal,18,4,0B0464A7,text3,\x8Cくのが先決だ。かわりに連れ戻してくるから、みんなは先に行っててくれ,{{L000}}くのが先決だ。かわりに連れ戻してくるから、みんなは先に行っててくれ,くのが先決だ。かわりに連れ戻してくるから、みんなは先に行っててくれ,"[""\\x8C""]",{{L000}}くのが先決だ。かわりに連れ戻してくるから、みんなは先に行っててくれ
タモノ。 故ニニ敗北ハ許サレヌ。 コノ武ニ汚レガアッテハナラヌノダ！,110,1,normal,18,68,58214679,text3,タモノ。　故ニ<我:われ>ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,タモノ。　故ニ{{L000}}ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,タモノ。　故ニニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！,"[""<我:われ>""]",タモノ。　故ニ{{L000}}ニ敗北ハ許サレヌ。　コノ武ニ汚レガアッテハナラヌノダ！
、汚したことは謝罪しよう。 それを良しとしなかったのは、我が甘さ故。,110,1,normal,18,79,A81DCE2B,text3,、汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,、汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,、汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。,[],、汚したことは謝罪しよう。　それを良しとしなかったのは、我が甘さ故。
:アクルカ>ヨ！ 我ハサラニ求ム！ 我ガ魂ヲ喰ライテ、ヲ超エシノ力ヲ示セッ！！,110,1,normal,18,142,7EF68B8A,text3,:アクルカ>ヨ！　我ハサラニ求ム！　我ガ魂ヲ喰ライテ、<天元:てんげん>ヲ超エシ<天外:てんがい>ノ力ヲ示セッ！！,:アクルカ>ヨ！　我ハサラニ求ム！　我ガ魂ヲ喰ライテ、{{L000}}ヲ超エシ{{L001}}ノ力ヲ示セッ！！,:アクルカ>ヨ！　我ハサラニ求ム！　我ガ魂ヲ喰ライテ、ヲ超エシノ力ヲ示セッ！！,"[""<天元:てんげん>"", ""<天外:てんがい>""]",:アクルカ>ヨ！　我ハサラニ求ム！　我ガ魂ヲ喰ライテ、{{L000}}ヲ超エシ{{L001}}ノ力ヲ示セッ！！
たハク扮するオシュトルは、 無事を願うクオンたちに自らの……すなわちハクの死を伝えた。,110,1,normal,18,286,6DFAB008,text3,"たハク扮するオシュトルは、
無事を願うクオンたちに自らの……すなわちハクの死を伝えた。","たハク扮するオシュトルは、
無事を願うクオンたちに自らの……すなわちハクの死を伝えた。","たハク扮するオシュトルは、
無事を願うクオンたちに自らの……すなわちハクの死を伝えた。",[],"たハク扮するオシュトルは、
無事を願うクオンたちに自らの……すなわちハクの死を伝えた。"
…… オシュトル殿の紹介により参った。,109,3,normal,6,24,9C5AA574,text4,"\x81\x8C……
オシュトル殿の紹介により参った。","{{L000}}{{L001}}……
オシュトル殿の紹介により参った。","……
オシュトル殿の紹介により参った。","[""\\x81"", ""\\x8C""]","{{L000}}{{L001}}……
オシュトル殿の紹介により参った。"
あの皇女さんのことだが……どうするか。,109,3,normal,6,61,E929C73D,text4,\x80\x81あの皇女さんのことだが……どうするか。,{{L000}}{{L001}}あの皇女さんのことだが……どうするか。,あの皇女さんのことだが……どうするか。,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}あの皇女さんのことだが……どうするか。
のまま無条件に信じるのはマズイだろう。,109,3,normal,6,65,0E983EBD,text4,\x81\x9Dのまま無条件に信じるのはマズイだろう。,{{L000}}{{L001}}のまま無条件に信じるのはマズイだろう。,のまま無条件に信じるのはマズイだろう。,"[""\\x81"", ""\\x9D""]",{{L000}}{{L001}}のまま無条件に信じるのはマズイだろう。
遠目には服だけが歩いているように見える,109,3,normal,17,292,C3732682,text4,\x80\x81遠目には服だけが歩いているように見える,{{L000}}{{L001}}遠目には服だけが歩いているように見える,遠目には服だけが歩いているように見える,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}遠目には服だけが歩いているように見える
はタップリさせてもらうぜ、あの乳に！！,109,2,normal,2,42,89F62AA8,text3,\xBCはタップリさせてもらうぜ、あの乳に#@－－#！！,{{L000}}はタップリさせてもらうぜ、あの乳に{{L001}}！！,はタップリさせてもらうぜ、あの乳に！！,"[""\\xBC"", ""#@－－#""]",{{L000}}はタップリさせてもらうぜ、あの乳に{{L001}}！！
ていた方が、かえって怪しまれないもんだ,109,2,normal,17,216,F53930DD,text3,\x97ていた方が、かえって怪しまれないもんだ,{{L000}}ていた方が、かえって怪しまれないもんだ,ていた方が、かえって怪しまれないもんだ,"[""\\x97""]",{{L000}}ていた方が、かえって怪しまれないもんだ
たく、いつもそれだけ可愛げがあればね。,109,2,normal,18,39,64056809,text3,\xA3たく、いつもそれだけ可愛げがあればね。,{{L000}}たく、いつもそれだけ可愛げがあればね。,たく、いつもそれだけ可愛げがあればね。,"[""\\xA3""]",{{L000}}たく、いつもそれだけ可愛げがあればね。
シ、コノニ生キ恥ヲカカセテクレルトハ。,109,2,normal,18,57,A2958F41,text3,\xB1\x9Aシ、コノ<我:われ>ニ生キ恥ヲカカセテクレルトハ。,{{L000}}{{L001}}シ、コノ{{L002}}ニ生キ恥ヲカカセテクレルトハ。,シ、コノニ生キ恥ヲカカセテクレルトハ。,"[""\\xB1"", ""\\x9A"", ""<我:われ>""]",{{L000}}{{L001}}シ、コノ{{L002}}ニ生キ恥ヲカカセテクレルトハ。
とで、必要な知識を学ばせること。 忠誠心を植え付けること。,109,1,normal,3,20,F0E76875,text3,"\x93とで、必要な知識を学ばせること。
忠誠心を植え付けること。","{{L000}}とで、必要な知識を学ばせること。
忠誠心を植え付けること。","とで、必要な知識を学ばせること。
忠誠心を植え付けること。","[""\\x93""]","{{L000}}とで、必要な知識を学ばせること。
忠誠心を植え付けること。"
、 恋人同士ならいろいろスゴイことしてるんやろうなぁって。,109,1,normal,4,91,682894E4,text3,"\x8B、
恋人同士ならいろいろスゴイことしてるんやろうなぁって。","{{L000}}、
恋人同士ならいろいろスゴイことしてるんやろうなぁって。","、
恋人同士ならいろいろスゴイことしてるんやろうなぁって。","[""\\x8B""]","{{L000}}、
恋人同士ならいろいろスゴイことしてるんやろうなぁって。"
余の友となる資格をくれてやろう！ ありがたく思うのじゃぞ！,109,1,normal,6,189,15800B72,text3,\x81\xAF余の友となる資格をくれてやろう！　ありがたく思うのじゃぞ！,{{L000}}{{L001}}余の友となる資格をくれてやろう！　ありがたく思うのじゃぞ！,余の友となる資格をくれてやろう！　ありがたく思うのじゃぞ！,"[""\\x81"", ""\\xAF""]",{{L000}}{{L001}}余の友となる資格をくれてやろう！　ありがたく思うのじゃぞ！
を調べてみるか。 アンちゃん、誰か来ないか見張っててくれ。,109,1,normal,9,27,AA1F4C9B,text3,"\xADを調べてみるか。
アンちゃん、誰か来ないか見張っててくれ。","{{L000}}を調べてみるか。
アンちゃん、誰か来ないか見張っててくれ。","を調べてみるか。
アンちゃん、誰か来ないか見張っててくれ。","[""\\xAD""]","{{L000}}を調べてみるか。
アンちゃん、誰か来ないか見張っててくれ。"
けているようでも要点を押さえている感じがあまりしなくてな。,109,1,normal,9,89,D836F0C8,text3,けているようでも要点を押さえている感じがあまりしなくてな。,けているようでも要点を押さえている感じがあまりしなくてな。,けているようでも要点を押さえている感じがあまりしなくてな。,[],けているようでも要点を押さえている感じがあまりしなくてな。
やれやれ、さすがに今日は疲れた。 助かったぜ、アンちゃん。,109,1,normal,9,299,BAAA3914,text3,"やれやれ、さすがに今日は疲れた。
助かったぜ、アンちゃん。","やれやれ、さすがに今日は疲れた。
助かったぜ、アンちゃん。","やれやれ、さすがに今日は疲れた。
助かったぜ、アンちゃん。",[],"やれやれ、さすがに今日は疲れた。
助かったぜ、アンちゃん。"
えい、たかが一人に何をしている、 突撃せよ、押しつぶせぃ！,109,1,normal,11,21,648FE232,text3,"\x88えい、たかが一人に何をしている、
突撃せよ、押しつぶせぃ！","{{L000}}えい、たかが一人に何をしている、
突撃せよ、押しつぶせぃ！","えい、たかが一人に何をしている、
突撃せよ、押しつぶせぃ！","[""\\x88""]","{{L000}}えい、たかが一人に何をしている、
突撃せよ、押しつぶせぃ！"
戦:いくさ>狂いの覚悟を、勝手に押し付けないでほしいかな。,109,1,normal,14,113,4E4BAB37,text3,戦:いくさ>狂いの覚悟を、勝手に押し付けないでほしいかな。,戦:いくさ>狂いの覚悟を、勝手に押し付けないでほしいかな。,戦:いくさ>狂いの覚悟を、勝手に押し付けないでほしいかな。,[],戦:いくさ>狂いの覚悟を、勝手に押し付けないでほしいかな。
構わねェがな、 さっさと撤退しねえと手遅れになっちまうぜ？,109,1,normal,15,21,52628307,text3,"\x81\xAB構わねェがな、
さっさと撤退しねえと手遅れになっちまうぜ？","{{L000}}{{L001}}構わねェがな、
さっさと撤退しねえと手遅れになっちまうぜ？","構わねェがな、
さっさと撤退しねえと手遅れになっちまうぜ？","[""\\x81"", ""\\xAB""]","{{L000}}{{L001}}構わねェがな、
さっさと撤退しねえと手遅れになっちまうぜ？"
、こんなボロボロになってもまだ向かってくるとは正気か……？,109,1,normal,16,69,00C67335,text3,、こんなボロボロになってもまだ向かってくるとは正気か……？,、こんなボロボロになってもまだ向かってくるとは正気か……？,、こんなボロボロになってもまだ向かってくるとは正気か……？,[],、こんなボロボロになってもまだ向かってくるとは正気か……？
:どこ>へ逃げるかだが……オシュトル、どこか当てはないか？,109,1,normal,17,183,BE3C30D2,text3,:どこ>へ逃げるかだが……オシュトル、どこか当てはないか？,:どこ>へ逃げるかだが……オシュトル、どこか当てはないか？,:どこ>へ逃げるかだが……オシュトル、どこか当てはないか？,[],:どこ>へ逃げるかだが……オシュトル、どこか当てはないか？
ウとデコポンポの兵は、まだ都の外で立ち往生しているはずだな,109,1,normal,17,249,8AD8E817,text3,ウとデコポンポの兵は、まだ都の外で立ち往生しているはずだな,ウとデコポンポの兵は、まだ都の外で立ち往生しているはずだな,ウとデコポンポの兵は、まだ都の外で立ち往生しているはずだな,[],ウとデコポンポの兵は、まだ都の外で立ち往生しているはずだな
わけですね。フフッ、あいかわらず面白いことを思いつく御仁だ,109,1,normal,17,257,5FA12B70,text3,わけですね。フフッ、あいかわらず面白いことを思いつく御仁だ,わけですね。フフッ、あいかわらず面白いことを思いつく御仁だ,わけですね。フフッ、あいかわらず面白いことを思いつく御仁だ,[],わけですね。フフッ、あいかわらず面白いことを思いつく御仁だ
ます。ですが、はホノカ様に大変なご恩を受けた身でもあります,109,1,normal,17,308,4B58A521,text3,ます。ですが、<私:わたくし>はホノカ様に大変なご恩を受けた身でもあります,ます。ですが、{{L000}}はホノカ様に大変なご恩を受けた身でもあります,ます。ですが、はホノカ様に大変なご恩を受けた身でもあります,"[""<私:わたくし>""]",ます。ですが、{{L000}}はホノカ様に大変なご恩を受けた身でもあります
日に日に将として成長していくのが、何よりの楽しみだった……,109,1,normal,18,256,69E5F5D2,text3,日に日に将として成長していくのが、何よりの楽しみだった……,日に日に将として成長していくのが、何よりの楽しみだった……,日に日に将として成長していくのが、何よりの楽しみだった……,[],日に日に将として成長していくのが、何よりの楽しみだった……
啊……,108,5,kanji_term,4,109,41343900,text3,啊……,啊……,啊……,[],啊……
、優しい普通のホロロン鳥なんです……,108,3,normal,5,11,CB277464,text4,\x81\xAE、優しい普通のホロロン鳥なんです……,{{L000}}{{L001}}、優しい普通のホロロン鳥なんです……,、優しい普通のホロロン鳥なんです……,"[""\\x81"", ""\\xAE""]",{{L000}}{{L001}}、優しい普通のホロロン鳥なんです……
来たな。結構重たく考えてたみたいだが,108,3,normal,8,31,953E4181,text4,\x87\xBA来たな。結構重たく考えてたみたいだが,{{L000}}{{L001}}来たな。結構重たく考えてたみたいだが,来たな。結構重たく考えてたみたいだが,"[""\\x87"", ""\\xBA""]",{{L000}}{{L001}}来たな。結構重たく考えてたみたいだが
くらまし>を使うからそれに合わせて！,108,3,normal,13,12,D9878BBA,text4,\x9B\xAEくらまし>を使うからそれに合わせて！,{{L000}}{{L001}}くらまし>を使うからそれに合わせて！,くらまし>を使うからそれに合わせて！,"[""\\x9B"", ""\\xAE""]",{{L000}}{{L001}}くらまし>を使うからそれに合わせて！
ルの故郷であるエンナカムイへ向かう。,108,3,normal,17,408,69FCC493,text4,\x83\x88ルの故郷であるエンナカムイへ向かう。,{{L000}}{{L001}}ルの故郷であるエンナカムイへ向かう。,ルの故郷であるエンナカムイへ向かう。,"[""\\x83"", ""\\x88""]",{{L000}}{{L001}}ルの故郷であるエンナカムイへ向かう。
尽きたハクたちに、一時の安堵が漂う。,108,3,normal,17,414,38DA836C,text4,\xA0\xB9尽きたハクたちに、一時の安堵が漂う。,{{L000}}{{L001}}尽きたハクたちに、一時の安堵が漂う。,尽きたハクたちに、一時の安堵が漂う。,"[""\\xA0"", ""\\xB9""]",{{L000}}{{L001}}尽きたハクたちに、一時の安堵が漂う。
、の力を解放したヴライが迫っている。,108,3,normal,17,423,EF2CAA1B,text4,\x81\xAF、<仮面:アクルカ>の力を解放したヴライが迫っている。,{{L000}}{{L001}}、{{L002}}の力を解放したヴライが迫っている。,、の力を解放したヴライが迫っている。,"[""\\x81"", ""\\xAF"", ""<仮面:アクルカ>""]",{{L000}}{{L001}}、{{L002}}の力を解放したヴライが迫っている。
、あれに割り込めるヤツなんかいない。,108,3,normal,18,118,6D65FBA1,text4,\x81\xA7、あれに割り込めるヤツなんかいない。,{{L000}}{{L001}}、あれに割り込めるヤツなんかいない。,、あれに割り込めるヤツなんかいない。,"[""\\x81"", ""\\xA7""]",{{L000}}{{L001}}、あれに割り込めるヤツなんかいない。
もりが、判ってなかったってことか……,108,3,normal,18,123,1F971C82,text4,\x81\xA4もりが、判ってなかったってことか……,{{L000}}{{L001}}もりが、判ってなかったってことか……,もりが、判ってなかったってことか……,"[""\\x81"", ""\\xA4""]",{{L000}}{{L001}}もりが、判ってなかったってことか……
な？ うん、いかにも硬そうに見えたな,108,2,normal,0,63,6CB637F3,text3,\x86な？　うん、いかにも硬そうに見えたな,{{L000}}な？　うん、いかにも硬そうに見えたな,な？　うん、いかにも硬そうに見えたな,"[""\\x86""]",{{L000}}な？　うん、いかにも硬そうに見えたな
間も無く、ナニカが宙に舞い上がった。,108,2,normal,0,78,CAC13C47,text3,\x8B間も無く、ナニカが宙に舞い上がった。,{{L000}}間も無く、ナニカが宙に舞い上がった。,間も無く、ナニカが宙に舞い上がった。,"[""\\x8B""]",{{L000}}間も無く、ナニカが宙に舞い上がった。
か俺にこんな才能があったなんてなぁ！,108,2,normal,8,55,B538AD6F,text3,\x95か俺にこんな才能があったなんてなぁ！,{{L000}}か俺にこんな才能があったなんてなぁ！,か俺にこんな才能があったなんてなぁ！,"[""\\x95""]",{{L000}}か俺にこんな才能があったなんてなぁ！
いや！ これで胸を張って里に帰れる！,108,2,normal,8,91,0CEC4B4B,text3,"\x84いや！
これで胸を張って里に帰れる！","{{L000}}いや！
これで胸を張って里に帰れる！","いや！
これで胸を張って里に帰れる！","[""\\x84""]","{{L000}}いや！
これで胸を張って里に帰れる！"
オン、何でもいい、弱点はないのか！？,108,2,normal,13,70,203AD366,text3,\xAFオン、何でもいい、弱点はないのか！？,{{L000}}オン、何でもいい、弱点はないのか！？,オン、何でもいい、弱点はないのか！？,"[""\\xAF""]",{{L000}}オン、何でもいい、弱点はないのか！？
首謀者に罪を擦り付けられたからだしな,108,2,normal,17,181,354CE560,text3,\x82首謀者に罪を擦り付けられたからだしな,{{L000}}首謀者に罪を擦り付けられたからだしな,首謀者に罪を擦り付けられたからだしな,"[""\\x82""]",{{L000}}首謀者に罪を擦り付けられたからだしな
イタハズ。 マダニ息ガアッタコトニ。,108,2,normal,18,49,52A90713,text3,\x86イタハズ。　マダ<我:われ>ニ息ガアッタコトニ。,{{L000}}イタハズ。　マダ{{L001}}ニ息ガアッタコトニ。,イタハズ。　マダニ息ガアッタコトニ。,"[""\\x86"", ""<我:われ>""]",{{L000}}イタハズ。　マダ{{L001}}ニ息ガアッタコトニ。
ノ屈辱、ガ首ヲ以テ晴ラシテクレン！！,108,2,normal,18,62,9C441F25,text3,\x82\xB3ノ屈辱、<汝:うぬ>ガ首ヲ以テ晴ラシテクレン！！,{{L000}}{{L001}}ノ屈辱、{{L002}}ガ首ヲ以テ晴ラシテクレン！！,ノ屈辱、ガ首ヲ以テ晴ラシテクレン！！,"[""\\x82"", ""\\xB3"", ""<汝:うぬ>""]",{{L000}}{{L001}}ノ屈辱、{{L002}}ガ首ヲ以テ晴ラシテクレン！！
焦らせるなよ。 本気で心配しただろ。,108,2,normal,18,199,CB7532FA,text3,\x80\x81焦らせるなよ。　本気で心配しただろ。,{{L000}}{{L001}}焦らせるなよ。　本気で心配しただろ。,焦らせるなよ。　本気で心配しただろ。,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}焦らせるなよ。　本気で心配しただろ。
しは……名代として、 に献上品を届けてきなさいとしか……,108,1,normal,3,15,CE36F811,text3,"\x9Fしは……名代として、
<帝:ミカド>に献上品を届けてきなさいとしか……","{{L000}}しは……名代として、
{{L001}}に献上品を届けてきなさいとしか……","しは……名代として、
に献上品を届けてきなさいとしか……","[""\\x9F"", ""<帝:ミカド>""]","{{L000}}しは……名代として、
{{L001}}に献上品を届けてきなさいとしか……"
と違い装飾もなく、 田舎者みたいで恥ずかしいのですが……,108,1,normal,3,140,E88C985A,text3,"\x80\x85と違い装飾もなく、
田舎者みたいで恥ずかしいのですが……","{{L000}}{{L001}}と違い装飾もなく、
田舎者みたいで恥ずかしいのですが……","と違い装飾もなく、
田舎者みたいで恥ずかしいのですが……","[""\\x80"", ""\\x85""]","{{L000}}{{L001}}と違い装飾もなく、
田舎者みたいで恥ずかしいのですが……"
終わりだ。 いつまでも馬鹿やってないで、とっとと帰るぞ。,108,1,normal,7,36,8225A54E,text3,"\xAF終わりだ。
いつまでも馬鹿やってないで、とっとと帰るぞ。","{{L000}}終わりだ。
いつまでも馬鹿やってないで、とっとと帰るぞ。","終わりだ。
いつまでも馬鹿やってないで、とっとと帰るぞ。","[""\\xAF""]","{{L000}}終わりだ。
いつまでも馬鹿やってないで、とっとと帰るぞ。"
だ、香だから風向きとか地形とか、考えて使う必要があるかな,108,1,normal,8,123,CFB363E0,text3,\x81\x9Fだ、香だから風向きとか地形とか、考えて使う必要があるかな,{{L000}}{{L001}}だ、香だから風向きとか地形とか、考えて使う必要があるかな,だ、香だから風向きとか地形とか、考えて使う必要があるかな,"[""\\x81"", ""\\x9F""]",{{L000}}{{L001}}だ、香だから風向きとか地形とか、考えて使う必要があるかな
えとはなぁ……コイツの前で姉の悪口を言うのはやめておこう,108,1,normal,8,138,AF2EDB18,text3,えとはなぁ……コイツの前で姉の悪口を言うのはやめておこう,えとはなぁ……コイツの前で姉の悪口を言うのはやめておこう,えとはなぁ……コイツの前で姉の悪口を言うのはやめておこう,[],えとはなぁ……コイツの前で姉の悪口を言うのはやめておこう
しくてな。 そこで、かなり大がかりなが催されるって話だ。,108,1,normal,9,8,F6DC8E17,text3,"しくてな。
そこで、かなり大がかりな<闘鶏:とうけい>が催されるって話だ。","しくてな。
そこで、かなり大がかりな{{L000}}が催されるって話だ。","しくてな。
そこで、かなり大がかりなが催されるって話だ。","[""<闘鶏:とうけい>""]","しくてな。
そこで、かなり大がかりな{{L000}}が催されるって話だ。"
呼べるものがあった俺は、 まだ恵まれているんだろうがよ。,108,1,normal,9,357,D729BC50,text3,"呼べるものがあった俺は、
まだ恵まれているんだろうがよ。","呼べるものがあった俺は、
まだ恵まれているんだろうがよ。","呼べるものがあった俺は、
まだ恵まれているんだろうがよ。",[],"呼べるものがあった俺は、
まだ恵まれているんだろうがよ。"
入った場所だが、 戦場と離れている分、警戒は薄いはずだ。,108,1,normal,10,121,2C6B0FF1,text3,"\x81\xAB入った場所だが、
戦場と離れている分、警戒は薄いはずだ。","{{L000}}{{L001}}入った場所だが、
戦場と離れている分、警戒は薄いはずだ。","入った場所だが、
戦場と離れている分、警戒は薄いはずだ。","[""\\x81"", ""\\xAB""]","{{L000}}{{L001}}入った場所だが、
戦場と離れている分、警戒は薄いはずだ。"
の機嫌によってはお召し抱えもあるやもしれん。 いかがか！,108,1,normal,11,14,D3F38A01,text3,<皇:オゥルォ>の機嫌によってはお召し抱えもあるやもしれん。　いかがか！,{{L000}}の機嫌によってはお召し抱えもあるやもしれん。　いかがか！,の機嫌によってはお召し抱えもあるやもしれん。　いかがか！,"[""<皇:オゥルォ>""]",{{L000}}の機嫌によってはお召し抱えもあるやもしれん。　いかがか！
