start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x7102,28930,162,9,"アンジュ姫殿下は、現人神である帝の、
ただ一人の直系である御方。
正真正銘の天子様なのですよ。",[],
0x71A4,29092,110,12,"この帝都、いえヤマトには姫殿下に命を捧げている者が、
ごまんと居るのです。",[],
0x7212,29202,110,6,"オシュトル様なら軽口ということですむことでも、
あまり目に余るようだと……",[],
0x7280,29312,61,3,ある日……忽然と消えることになるですよ？,[],
0x72BD,29373,22,2,そ、そうか……,[],
0x72D3,29395,122,14,"淡々とした口調がかえって恐いというか。
脅しているとかじゃ……ないっぽいな、コレ。",[],
0x734D,29517,28,2,しかし、意外だな。,[],
0x7369,29545,16,1,何がです？,[],
0x7379,29561,73,4,いや、何だかんだ言って心配してくれたんだな、と。,[],
0x73C2,29634,101,12,"顔見知りがある日突然居なくなっていたら、
さすがに夢見が悪いのです。",[],
0x7427,29735,31,1,……ソ、ソウデスカ。,[],
0x7446,29766,49,3,ホントに……脅しじゃ無いのね……,[],
0x7477,29815,98,6,"上京してくるのは、
ただ聖誕祭のためだけに来るわけではないのです。",[],
0x74D9,29913,158,13,"それがなくとも、もともとこの時期になると有力者達は、
跡継ぎなどを帝都へ送る仕来りになってたです。",[],
0x7577,30071,88,6,そして、何年かここで過ごさせ、様々なことを学ばせるのです。,[],
0x75CF,30159,104,15,"高名な学士に弟子入りする者がいれば、
学徒となり勉学に励む者も。",[],
0x7637,30263,98,6,"武に秀でた者は軍属になり、
名のある者の舎弟となる道もあるのです。",[],
0x7699,30361,73,4,そうなんですか……皆さんすごいのですね……,[],
0x76E2,30434,64,11,あの……ルルティエさまもそうなのですけど。,[],
0x7722,30498,16,1,えっ……？,[],
0x7732,30514,61,3,びっくりした様子でルルティエは聞き返す。,[],
0x776F,30575,61,3,……あの、もしかして知らなかったですか。,[],
0x77AC,30636,104,54,"わたしは……名代として、
帝に献上品を届けてきなさいとしか……",[],
0x7814,30740,125,6,"それは多分、ルルティエを不安にさせないよう、
親御さんが内緒にしてたんじゃないかな？",[],
0x789B,30875,49,2,言われると、そんな感じがするな。,[],
0x78CC,30924,91,14,ルルティエの話だと、とても子煩悩な御方みたいだから。,[],
0x7934,31028,55,3,それにしても、上手く考えられてるね。,[],
0x796B,31083,13,1,何がだ？,[],
0x7978,31096,125,7,"世継ぎなどをお膝元に置くことで、必要な知識を学ばせること。
忠誠心を植え付けること。",[],
0x79F5,31221,137,14,"絶対的な富と権力を見せつけて叛意をへし折ること。
ここで散財させる事による富や文化の活性化。",[],
0x7A7E,31358,73,4,パッと思いつくだけで、これだけの利点があるかな。,[],
0x7AC7,31431,86,11,"さすがは姉さまなのです。
この意味に気付いたですか。",[],
0x7B1D,31517,91,5,ネコネがチラリとこっち見て、フフンと自慢げな笑みを浮かべる。,[],
0x7B78,31608,46,3,いや、何故お前がドヤ顔なんだ。,[],
0x7BA6,31654,52,3,こっちだって、そのくらいは気付く。,[],
0x7BDA,31706,113,12,"他にも属国への牽制、散財させることによる弱体、
人質とかの意味もあるとかな。",[],
0x7C69,31849,46,3,敢えて言わなかったのに……,[],
0x7CBE,31934,55,3,あ……い、いや、今のは何ていうか……,[],
0x7CF5,31989,116,14,"いえ、わたしは気にしていませんから……
ハクさまもお気になさらないで下さい……",[],
0x7D69,32105,40,2,うぐ、逆に気を使わせた……,[],
0x7D91,32145,85,5,そんな話をしていると、例の行列が目の前を通り過ぎていく。,[],
0x7DE6,32230,125,14,"しかし派手だな。　飾られた衣装に煌びやかな装飾。
楽を鳴らして歌って踊って……",[],
0x7E63,32355,37,2,まるで何かのお祭りだな。,[],
0x7E88,32392,61,4,自分達がここに来た時とはずいぶん違うな。,[],
0x7EC5,32453,137,13,"話からしてルルティエもこの連中と同じ上京組のようだが、
コレと比べたらすごく地味というか……",[],
0x7F4E,32590,107,7,"まぁ、あんな格好をして、
歌って踊りながら練り歩けって言われても困るが。",[],
0x7FB9,32697,137,16,"権力の誇示と名を知らしめる為に、
こうして豪華な飾り付けをして派手に練り歩く家が多いのです。",[],
0x8042,32834,119,6,"さらに都のヒト達はお祭好きが多く、
こういった行列に拍車をかけてしまってるです。",[],
0x80B9,32953,70,4,貴族や豪族達が力を誇示する絶好の機会だからね。,[],
0x80FF,33023,116,16,"遠方の有力者にしてみれば少しでも名を売りたいから、
力が入るのも無理ないかな。",[],
0x8173,33139,119,7,"わたしは、こういったのはあまり好きでは無いです。
見苦しいですし騒がしいのです。",[],
0x81EA,33258,95,26,"中には見栄を張って、
分不相応に飾り付けたりする者もいるですよ。",[],
0x8249,33353,143,8,"その為に普段は爪に火をともすような生活をしている家も
あるとか。　本末転倒もいいところなのです。",[],
0x82D8,33496,128,15,"成程ね、ネコネとしては、
こういったギラギラしたのはあまり趣味じゃ無いのか。",[],
0x8358,33624,76,4,まあ、騒がしいのは苦手そうだから判らんでもないが。,[],
0x83A4,33700,107,9,"しばらくその豪華な行列を眺めていると、
その後から次の行列がやってきた。",[],
0x840F,33807,58,1,…………今度のはまた、えらく地味だな。,[],
0x84C6,33990,166,6,ルルティエと運んできた荷車は、派手ではなかったが細かな模様や綺麗な彩色がほどこされていた、品の良いものだった。,[],
0x85DA,34266,127,6,質実剛健と言えば聞こえはいいが、下手すると農作業をする時に使う荷車にも見えてしまう。,[],
0x868A,34442,161,7,"行列を眺めていた者達も見ていてつまらなくなったのだろう、
興味を無くしたようにそれぞれの仕事に戻っていった。",[],
0x87E3,34787,82,6,不意にどこからか、ネコネの名前を呼ぶ声が聞こえてきた。,[],
0x88DB,35035,64,7,それを見てネコネが少しばかり眉をしかめる。,[],
0x89FB,35323,25,7,……どうもです。,[],
0x8AF3,35571,141,7,"結構あからさまな態度なのだが、
少年はそれに気付いた様子は無く、
嬉しそうな笑顔を浮かべている。",[],
0x8BC7,35783,116,10,"見た目はいかにも人の良さそうな少年って感じだ。
嫌われそうには見えないんだが。",[],
0x8CB8,36024,77,11,"紹介しますです。
この方はキウルという同郷の者です。",[],
0x8D82,36226,165,6,"ネコネさんのお知り合いの方ですか？
申し遅れました、私はエンナカムイのキウルと申します。
よろしくお願いします。",[],
0x8ECE,36558,94,6,そうですか、薬師様でしたか……え？　姉……さま？,[],
0x8F9D,36765,104,9,"そ、そうですよね、吃驚した。
でも、ネコネさんが……ですか。",[],
0x90C0,37056,79,9,が、しばらくして我に返ったのか、慌てて視線をそらす。,[],
0x910F,37135,112,1,成程、猫をかぶった穏やかな佇まいのクオンに見惚れていたか。,[],
0x91F9,37369,16,7,ふゴッ！？,[],
0x92D8,37592,101,6,"あ……その、クジュウリのルルティエです……
よろしくお願いします……",[],
0x933D,37693,73,1,クジュウリ……ルルティエ……様？　もしかして……,[],
0x93F2,37874,91,5,あの……エンナカムイのキウルさまということは、もしかして……,[],
0x94CC,38092,64,6,い、いえ、こちらこそよろしくお願いします。,[],
0x95EB,38379,56,44,"おい、短すぎだろ。
何でそこで止める。",[],
0x96E6,38630,94,5,本人でも言い淀むのに、他人にそれを求められても困るです。,[],
0x9751,38737,46,1,じゃあ、何て言うか……あれだ。,[],
0x977F,38783,113,1,"頼りになるとか、信頼するとか、
もう一人の兄さまのような人だとかだな。",[],
0x97FD,38909,119,5,"心にも思ってないことを言わせる気ですか。
まるで鬼畜のようなヒトを追加するです。",[],
0x99DB,39387,61,5,クオンの言葉にコクコクと肯くルルティエ。,[],
0x9AF0,39664,44,4,"ハクだ。
まぁ、よろしく頼む。",[],
0x9BD3,39891,79,4,は、はい、やっと祖父からお許しが出まして、今年から。,[],
0x9CB8,40120,95,5,"他の方々と違い装飾もなく、
田舎者みたいで恥ずかしいのですが……",[],
0x9DC9,40393,110,4,"恥じてる様子は無かったのだが、
キウルはネコネの言葉にがっくりと落ち込む。",[],
0x9ED9,40665,183,3,"今回も『華美も過ぎれば醜いだけ。落ち着いた方が好きだ』
と言ってたネコネさんの言葉を思い出しまして、
そうしてみたんですよ。",[],
0x9FD7,40919,134,7,"……なんていうか、すごく判りやすいな。
こんな無愛想なチンチクリンが好きとは、物好きだね。",[],
0xA08B,41099,164,3,"それはいいのですが、そろそろ移動した方がいいのです。
いつまでもそこで立ち止まってると、周りの迷惑になるです。",[],
0xA191,41361,143,3,"あっ{{LOCK_AT_DASH}}！？　いけない、長々と申し訳ありません。
後ほど挨拶にうかがいますので、それではまた。","[""{{LOCK_AT_DASH}}""]",
0xA2D9,41689,136,3,ハクもあのくらい……とまでは言わないけど、もう少しだけあのコみたいなら可愛げがあるのかな？,[],
0xA3EE,41966,22,4,姉さま？,[],
0xA4EC,42220,46,3,ね、ルルティエもそう思わない？,[],
0xA5ED,42477,130,3,それは違うのです。キウルが話しかけてくるのは、わたしが兄さまの妹だからなのです。,[],
0xA67F,42623,134,4,"キウルは兄さまの弟分なのですよ。
兄さまとキウルは兄弟の誓いを結んでいまして。",[],
0xA7FE,43006,95,3,"そう……なんだ。
ちなみにネコネは彼のこと、どう……思ってるの？",[],
0xA873,43123,152,3,"未熟、金魚の糞、世話の焼ける、詰めが甘い、泣き虫、
精神的に脆い、努力は認める、才能はあるのに、",[],
0xAABE,43710,89,2,"意味がよく判らないです。
何故、迷惑に思う必要があるですか？",[],
0xABF7,44023,61,3,去りゆく一行を振り返り、そっと涙した……,[],
0xB0F9,45305,85,3,まあ、焦ったところで良い人材が見つかるとは限らないしな。,[],
0xB1C8,45512,142,2,ふっくらとしてて、微かな甘みと絶妙なモチモチ加減……人材捜しより、美味い物探しの成果は上々だな,[],
0xB2FF,45823,82,2,あやや、後ろ姿は格好良かったのに、前からは残念賞や……,[],
0xB3F5,46069,122,9,"まぁ、ええか。　なぁなぁおにーさん。
ちょっと道を尋ねたいんやけど、いいけ？",[],
0xB4DD,46301,109,2,この『帝都百選』に載ってる白楼閣って名の旅籠屋、どこか知らん？,[],
0xB5D1,46545,98,3,"ホントけ？
なあなあ、良かったらどう行ったらいいか教えてくれへん？",[],
0xB69B,46747,118,3,ふぅん、お兄さんって白楼閣に住んでたんか。じゃあ、これからお隣さんになるんやね,[],
0xB7B1,47025,124,2,さっきから、手元への視線が気になるんだが。正確には、自分が喰っているモノへの視線が,[],
0xB8CA,47306,73,2,ホントけ？　催促したわけやないけど、ありがとな～,[],
0xB9DF,47583,68,2,"ああ、名前な。　ハクだ。
ハクと呼ばれている。",[],
0xBAF4,47860,64,2,そうか、ちゃんとしたいい名前だったんだな。,[],
0xBBD7,48087,73,2,それはいいとして、おにーさんてば、ほんに残念賞や,[],
0xBCF7,48375,118,2,なのに、ふり返ったらガッカリやなんて……ウチのトキメキを返して欲しいくらいやわ,[],
0xBD6D,48493,175,2,なにがトキメキだ、この純情なおにーさんの砕け散った心を返せ。さんざん持ち上げておいてから、どん底に落としおってからに,[],
0xBED7,48855,140,2,"なあなあ、その白楼閣ってどんなトコなん？
ウチな、帝都に来るの初めてやから、何も知らないんよ。",[],
0xBF63,48995,119,2,"どんなところ……と言われてもな。
そうだな……とりあえずデカイ湯船の風呂がある。",[],
0xBFDA,49114,104,2,"泊まり心地はいいな。
寝床は広いし、メシも美味いし、特に風呂は最高だ。",[],
0xC094,49300,110,3,"ふわ～、それは楽しみやぇ。
ウチを出て独り暮らしを選んだの、正解かもな～。",[],
0xC19A,49562,119,3,"何でも仕来りらしくて、
姫殿下の聖誕祭に合わせて上京することになってな？",[],
0xC292,49810,116,2,"もしかしてルルティエやキウルと同じか。
つまり、いいとこのお嬢さんってことか？",[],
0xC39D,50077,173,2,"しかし、何処にも付き添いが居ないな。　そうだとすれば、
家来の一人くらい連れているはずなんだが……考えすぎか。",[],
0xC4BE,50366,70,2,ん～？　窮屈で邪魔やから、脱け出してきたんぇ。,[],
0xC5AC,50604,143,2,"とと様が屋敷を用意してくれたみたいやけど、
そんなんよりナイショで一人暮らしすることにしたんぇ。",[],
0xC6E6,50918,49,2,まぁ、こっちには関係ないことか。,[],
0xC7E0,51168,119,17,"ふわぁ#@～～#、なんか他のと違う、見たことない感じで綺麗やなぁ。
いい雰囲気やぇ。",[],
0xC8D4,51412,47,2,"あ、お帰りハク。
成果はあった？",[],
0xC9C1,51649,125,2,"そっか。　うん、仕方ないかな。
簡単に見つかるものでもないし、焦らずに根気よく捜そ。",[],
0xCA9D,51869,149,2,"ほわわ、すごい別嬪さんや。
なぁなぁおにーさん、この別嬪さんて、知り合いなんけ？",[],
0xCB8E,52110,119,2,"ああ、今日からここに住むらしい。
道が判らないって言うから、案内してきたんだが。",[],
0xCCD8,52440,128,2,"同じくここを仮住まいとしているから、
何か困ったことがあったら遠慮無く言ってほしいな。",[],
0xCD8A,52618,137,2,"もしかして、アレなん？　クオンはんとおにーさん、ひょっとして……
恋人同士だったりするんけ？",[],
0xCEE2,52962,76,5,ていうかクオンと恋人同士？　考えたこともなかった。,[],
0xCFDF,53215,43,3,なんでそこで残念そうなんだ。,[],
0xD0FC,53500,122,2,"せっかく帝都に来たんやもん。
どうせなら火傷をするような恋の一つもしてみたいんよ。",[],
0xD1DB,53723,61,5,いややなぁ、恋をしに来たに決まってるぇ。,[],
0xD22B,53803,37,1,迷い無く言い切ったよ……,[],
0xD269,53865,154,2,ほんなら、もう行くな？　とと様が追っ手に四天王なんか差し向けてくるから、ちょっとだけ疲れちゃったんよ。,[],
0xD3B7,54199,104,2,"それなら、お風呂で汗を流してくるといいかな。
ここのお湯は最高だから。",[],
0xD4D9,54489,52,2,手を振りながら去って行くアトゥイ。,[],
0xD582,54658,149,2,"否定はしないが、お前が言うなと言う気持ちで一杯だ。
変わっているという点ではクオンも負けてないだろ。",[],
0xD8D4,55508,88,2,オシュトルの弟分であるキウルも加わり、意気揚がるハクたち。,[],
0xD981,55681,167,2,"かの盗賊一味は、捕縛された後に収監されていたが、
官吏の隙をついて脱獄し、広い帝都のどこかに潜伏しているという。",[],
0xDB00,56064,76,2,一目散に逃げるモズヌを、ハクたちは必死で追う{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0xDBEA,56298,97,9,なんですって！　こいつはおもしれえ、返り討ちにしてやりやしょうぜ,[],
0xDCF5,56565,52,2,げえッ！？　あ、アイツは{{LOCK_AT_DASH}}！！,"[""{{LOCK_AT_DASH}}""]",
0xDDC7,56775,94,2,非道い言われようだな。まぁ、あれだけやられたら無理も無いか……,[],
0xDEFA,57082,25,2,ルルティエ様！？,[],
0xDFD1,57297,85,2,あ、あの……ごめんなさい……この間はココポがご迷惑を……,[],
0xE0CE,57550,85,3,ちょっと大きいだけの、優しい普通のホロロン鳥なんです……,[],
0xE1D7,57815,91,2,どう見たって禍日神に取り憑かれてるじゃんヨ！,[],
0xE2AA,58026,113,2,"これが普通のホロロン鳥に見えるってか？
オメェ等、目が腐ってんじゃねえの！？",[],
0xE3E4,58340,40,3,二人とも、何で目をそらす。,[],
0xE4F1,58609,67,3,ココポは……ココポは……地味なんかじゃない！,[],
0xE5E6,58854,73,7,や、ヤッちゃうぞテメェ等……やっちゃうからな！？,[],
0xE6E6,59110,149,3,"束の間の安らぎを堪能するハクたち。
この先も彼らは、帝都に安寧をもたらすため、奔走することであろう。",[],
0xE7CD,59341,85,2,アトゥイを仲間に加え、さらに活躍の場が広がったハクたち。,[],
0xE8EF,59631,82,1,常勝無敗の智将であり左近衛大将ミカヅチの兄、ライコウ。,[],
0xE9CD,59853,64,1,強弓の使い手、イズルハ皇、調弦のトキフサ。,[],
0xEAB5,60085,100,1,歳幼くも既に皇としての威厳を湛える皇女アンジュに、民衆は熱狂した。,[],
0xEC00,60416,109,1,ミトに請われるまま、記憶をなくしてから今までの境遇を話して聞かせるハク。,[],
0xECC3,60611,98,1,"ハクはどこか切ないような、
言いようのない思いに囚われたのだった。",[],
0xF6FC,63228,64,1,白楼閣に突如現れた年端のいかない謎の少女。,[],
0xF791,63377,113,2,"だが、奔放無比な彼女こそが、
ヤマトの姫殿下こと皇女アンジュその人であった。",[],
0xF8F5,63733,82,1,あ……ハクさん……ルルティエさん……おかえりなさい……,[],
0xF9AF,63919,121,5,こんな優しげなナリでもオシュトルを兄と仰ぐだけあって、それなりに打たれ強い,[],
0xFAFB,64251,61,1,少し前に、突然あの御方がやって参りまして,[],
0xFBEE,64494,28,1,クオンはどうした？,[],
0xFCF4,64756,34,1,何処からそれ……,[],
0xFDE5,64997,67,1,何やら聞いてはいけないことを呟いているし……,[],
0xFECC,65228,64,1,皇女以前に、乙女としてどうなんだコレは……,[],
0xFFCF,65487,85,7390,姉さま、どうしたで……姫殿下、いらしてたですか……,[],
0x10093,65683,61,1,ちょ、ちょっと待て、そんな約束してないぞ,[],
0x100DD,65757,55,1,違うから、そんな泣きそうな目で見るな,[],
0x101FA,66042,76,1,堅いことを言うでない、余と其方の仲であろう,[],
0x102DD,66269,160,1,前にも思ったが、姫殿下ともなれば好きなモノを好きなだけ食べれるだろうに。何でそんな食い意地がはってるんだ？,[],
0x103F6,66550,151,5,肉ばかりでは無く野菜も食べなければダメだの、食べ過ぎは身体に毒だの、虫歯になるから甘いモノは禁止だの,[],
0x1048D,66701,154,1,挙げ句には、屋台の串焼きが喰いたいと言ったら、そんな下賤なモノは余が食すには相応しくないなどと,[],
0x105B3,66995,157,1,それに比べ、ここは口うるさいやつはおらぬし、喰うたことのない美味い菓子を食べ放題。まるで桃源郷のようじゃ,[],
0x106E5,67301,40,1,だからそれはやめろって……,[],
0x107E6,67558,40,1,さっきからどうかしたのか？,[],
0x108A9,67753,100,1,高級なものじゃなくていい。確か買い置きしていたお徳用のがあっただろ,[],
0x109C9,68041,85,1,言っとくが、そんなに喰っちゃ寝して、太っても知らんからな,[],
0x10AFE,68350,103,1,だから、太ったりせぬと言うておろう。余は帝の直系たる天子じゃ,[],
0x10BEA,68586,109,1,どういう意味だ？　口ぶりからして本当に太ったりしないようだが。祝福……？,[],
0x10CC4,68804,100,1,何で、そんな下らぬことで一々騒いだりしているのか、余には理解出来ぬ,[],
0x10DFC,69116,148,4,アンジュの太らない発言の後、二人の自分に向ける視線が更に痛いものになってきた。ここは一時撤退だ……,[],
0x10EB2,69298,110,1,"ルルティエと一緒に台所へ向かっていると、
背後から涼しげな声が掛けられた。",[],
0x10FD7,69591,55,1,例えるなら、静かに佇む山のような……,[],
0x110DF,69855,77,2,"そうか、貴公が……
オシュトル殿の紹介により参った。",[],
0x1112C,69932,137,1,"オシュトルからの？　そう言えば、どこかで聞いたような……
いったい……ていうか、誰だっけ……",[],
0x111B5,70069,125,1,"オシュトルの知り合いで、この雰囲気というか存在感。
ただ者じゃ無いってことは判るが。",[],
0x112F4,70388,85,1,ムネチカと名乗る女性は、そう微笑むと手を差し出してくる。,[],
0x1137A,70522,136,1,その言葉にルルティエは遠慮がちながらも、嬉しそうにムネチカと名乗る女性の両手を握りしめた。,[],
0x114B4,70836,94,1,小生、この楼閣に入り浸っているさる御方を迎えに参った。,[],
0x115B4,71092,113,1,"オシュトルの紹介と言っていたが……
そのまま無条件に信じるのはマズイだろう。",[],
0x116D1,71377,98,1,"ルルティエ、自分はこの人を案内するから、
悪いがそっちの方は頼む。",[],
0x11CEB,72939,43,2,……約束を、交わしましたな。,[],
0x11FD1,73681,170,1,"成程、少々お戯れが過ぎる。
姫殿下の指南役を聖上より賜った身として躾が必要と判断させていただく。",[],
0x121E8,74216,64,1,其方、余を裏切るのか{{LOCK_AT_DASH}}ぅあ！？,"[""{{LOCK_AT_DASH}}""]",
0x12B92,76690,115,11,御所には古今様々な書物があり、姫殿下を退屈させることの無い話し手もいましょう,[],
0x12EF6,77558,109,1,まったく融通が利かないヤツじゃ。そんなだから嫁のもらい手がないのじゃ……,[],
0x1312D,78125,118,58,そんな環境で、勉学や公務ばかりの毎日では、抜け出したくなるのも当然じゃないかな,[],
0x13AFF,80639,16,1,これは……,[],
0x13CF2,81138,88,1,何を寝惚けているです。あの方は本来指南役などではないのです,[],
0x146F9,83705,80,1,"誤魔化すでないっ！
返すのじゃ、それは余の書冊じゃぞ！",[],
0x14FE8,85992,101,2,"義賊として帝都で活動するノスリは、
持ち前の善意から協力を決意する。",[],
0x151A9,86441,134,1,"良いか、傷付けるような真似は厳禁だ。
絶対に本気を出すなよ？　相手に花を持たせてやるのだ。",[],
0x152D8,86744,70,1,狂言誘拐とは、姉御もまた酔狂な真似をしなさる。,[],
0x153FD,87037,37,1,……のう、ノスリとやら。,[],
0x1599D,88477,55,1,ハ、ハク！？　何故其方が！？,[],
0x15DCB,89547,92,1,"いや、脅迫状？
には検非違使などに知らせるなと書いてあったろ。",[],
0x15ECD,89805,95,1,"そう言われると、
そんなことを書いたような書かなかったような……",[],
0x15FF0,90096,89,1,"そりゃ、なお悪いだろ。
少しは自分の立場ってもんを自覚しろ。",[],
0x16AC0,92864,73,1,そうだね、我儘を許しちゃいけないよね！,[],
0x16FAE,94126,113,2,"おおぃ、ちょっと待て！
おま……オシュトルに知らせたって、何てことしてんだ。",[],
0x1719B,94619,137,1,"おお、オシュトル！　オシュトル～！　ここじゃぞ！
其方のアンジュはここにおるのじゃ！",[],
0x176EC,95980,37,1,うむ、オシュトルとじゃ。,[],
0x17CD0,97488,106,1,かかる事態を招いたからには、某は位を返上し、お詫び致す所存。,[],
0x17F87,98183,201,2,"某の不行届きに、雪辱の機会を授けて下さるというお心遣い、
恐悦至極に存じ奉りまする 。",[],
0x182F7,99063,49,1,………………ほぎゃああああッ！？,[],
0x18EE6,102118,142,2,あ、待って。まだ行かない方がいいかな。香がまだ霧散していないから、それを吸い込んだりしたら……,[],
0x18FD8,102360,67,5,危な……この甘い香り、まさかここまでとは……,[],
0x191D5,102869,46,1,姉上は礼儀正しき義賊ですからね,[],
0x1A3E1,107489,82,2,それが、条件だ。でなければ、奴等の砦へは行かせられんぞ,[],
0x1AEF0,110320,131,2,"心配すんな！　お前等を見捨てたりなんかしねえよ。
俺達は苦楽を共にしてきた家族じゃんよ。",[],
0x1AFDC,110556,131,2,"俺、最近好きな女が出来たんっすよ！
もうすっかり諦めてたけど、告白とかしちまおうかな！？",[],
0x1B293,111251,150,1,"それを掠め取っておいて悪びれもしない、
そんな輩が往来を歩いていたら民が安心して過ごせない。
違うか？",[],
0x1BFE7,114663,34,2,ハクさん、そろそろ……,[],
0x1C1C6,115142,76,1,私の名を騙り、重ねた悪行の数々……償わせてやろう。,[],
0x1C59D,116125,152,2,"玉座に鎮座する帝と、傍に控える女性。
それはミトとホノカであり、ハクはすんでのところで言葉を飲み込む。",[],
0x1DBB7,121783,175,1,ちょいと調べたら灰色どころか真っ黒な話がボロボロと出てくる悪質なとこで、案の定、免状の無い闇賭博だったってわけだが。,[],
0x1DFB3,122803,95,2,"そうしたいのは山々なんだがなぁ。
何度そうしようと思ったことか。",[],
0x1E092,123026,119,1,"奴等の横の繋がりは網の目のように広がってやがるからよ、
その影響が半端ねえんだ。",[],
0x1E1EC,123372,155,1,"只でさえこっちを見下してるとこに、強引な手を使ってみろ。
修復不能な遺恨を残すことになる。",[],
0x1E287,123527,131,1,"身勝手な解釈が好きな連中だ。
なにを言っても、言いがかりとして受け取ってくれるだろうな。",[],
0x1E5F4,124404,58,2,それに、飲み行かねえかって誘っただろ。,[],
0x1E6C8,124616,146,1,"しかも、あのデコポンポが催す宴だぜ。
贅を尽くした料理や酒が山のように並べられるだろうよ。",[],
0x1E9B6,125366,110,1,"しかし、招待状を見せるだけで、すんなり入れるとはな。
拍子抜けってのか……",[],
0x1EEB4,126644,140,1,"ああ、やってることは闘鶏と同じでな、
蟲と蟲、あるいは蟲と凶暴な動物を闘わせるんだ。",[],
0x1EFBB,126907,122,2,"蟲を都に持ち込むのは厳禁なんだよ。
逃げて下手に繁殖されると、その駆除が大変でな。",[],
0x1F1D5,127445,167,1,"生き餌にされていて、もう助からない子供を焼き殺した……
酒の席でお袋にそう語った親父の顔は、今でも忘れられんよ。",[],
0x1F4B0,128176,98,1,"おいおい、こんだけハッキリした証拠があるのに、
まだ足りないのか？",[],
0x1F6E3,128739,31,1,シャ{{LOCK_AT_DASH}}ッッ！！,"[""{{LOCK_AT_DASH}}""]",
0x1F7D7,128983,113,1,"ぬぁ！？　く、くぬぅ、昆虫の分際で。
こっちが本気になれば、お前なんかな……",[],
0x1FAE5,129765,146,1,"ったく、面倒くせぇな……ひぃ、ふぅ、みぃ……ん？　足りねえ？
おい、どういうこった、足りねっぞ！！",[],
0x1FC93,130195,150,1,"やべぇ……オイやべぇよ！
てこたぁ、檻の鍵は全部外れてるってことじゃねえか！
じょ、冗談じゃねぇぞ！！",[],
0x1FFB8,131000,101,1786,"胴元が客を煽っているうちに、
豪勢な料理がどんどん運びこまれてきた。",[],
0x201DD,131549,158,1,"いつものウコンなら、『腹が減っては戦は出来ぬ』とか言って、
まずは腹ごしらえしてから動くだろうに。",[],
0x205E1,132577,110,1,"クク、違えねえ。　そうだな、まずは腹ごしらえだ。
それからでも遅くは無え。",[],
0x206C9,132809,88,2,狙っていた一番大きな鳥のもも肉を手に取り、かぶりつく{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x207D4,133076,61,1,ああ、そろそろアレが始まるんじゃねぇか？,[],
0x209E5,133605,73,1,……あ……ああ、そういうことか。クソ、やられた。,[],
0x20DFB,134651,13,1,奴等は？,[],
0x20FF3,135155,34,1,ガフッ、モリモリ{{LOCK_AT_DASH}},"[""{{LOCK_AT_DASH}}""]",
0x211D5,135637,49,1,助け、誰かぁぁぁぁぁぁぁぁぁ！！,[],
0x212BD,135869,101,2,"そういや、主催者のデコポンポは！
これをどうやって収拾つける気だ！？",[],
0x213A5,136101,95,1,"何だと！？　まさかとは思ったが、
自分が招待した客を見捨ててか。",[],
0x218BC,137404,101,1,"お前、全然悪いと思ってないだろ。
それかこっちに恨みでもあるのか！？",[],
0x21BFE,138238,58,2,うおっ！？　ヤバイぞオイ、気付かれた。,[],
0x21D4B,138571,182,1,"コイツは……ちょいと悪趣味だが、かなりの値打ちモノとみた。
ここまで苦労させられたんだ、餞別にありがたく貰ってくぞ。",[],
0x21F00,139008,43,1,仕方ねえ、いったん隠れよう。,[],
0x223B5,140213,82,1,そんなことより、そっちも逃げないとヤバいんじゃないか？,[],
0x225CF,140751,104,1,"こんなこともあろうかと、
儂専用の小舟が密かに繋いであるにゃも。",[],
0x228FA,141562,55,1,こっちはこっちでどうにかしねぇとな。,[],
0x22AB8,142008,73,2,自殺行為だな、そんな隙を見逃してくれるハズが……,[],
0x22BF8,142328,16,1,……ああ。,[],
0x22DC1,142785,140,3,"火達磨になって暴れまわるボロギギリのせいで炎が燃え広がり、
辺りはあっという間に炎に包まれた。",[],
0x22FD3,143315,116,1,"この寒空で気楽に言うな！
くそぅ、ここにいて焼け死ぬよりかマシなのが腹立つ……",[],
0x231FC,143868,28,1,そんな気がした……,[],
0x233D6,144342,85,3,あ～……まさかとは思うが、噂は本当だったのかね。,[],
0x235C5,144837,122,1,"あの豪華な屋形船は、大炎上してる真っ最中だった。
火柱が赤々と夜空を照らしている。",[],
0x237DC,145372,143,1,"待機していたウコンの配下に着替えを手配してもらったが、
冷えた躰に帝都の夜風はきついものがある。",[],
0x23CE9,146665,64,1,ンなことよりアンちゃん、これは何だと思う？,[],
0x23EF0,147184,58,1,ニッと笑みを浮かべ、盃を投げ渡される。,[],
0x23F95,147349,113,3,"ちゃんと酒菜もあるぜ。
まぁ喰い損ねたのからしたら質素なもんだがな。",[],
0x24800,149504,92,2,"さぁて……な。
オシュトルにウコン……結局どちらも半端モンよ。",[],
0x249CB,149963,101,2,"ああ、そのことか。
どういう感じも何も……特に気にしたことは無いな。",[],
0x24ED1,151249,122,1,"親父は優しくも厳しい親父でなぁ……
民と一緒に苦楽を共にする、俺の憧れだったのさ。",[],
