"row_no","rep_id_hex","group_key","over_by_bytes","span_bytes","needed_bytes","ja_preview","kr_preview"
"329","","ふぅ、 なんとか一匹足止めできたか……","11","56","67","ふぅ、\nなんとか一匹足止めできたか……","후우,\n어떻게든 한 마리는 붙잡아 뒀나……"
"419","","こっ、コレ、 倒せるんですか！？","11","47","58","こっ、コレ、\n倒せるんですか！？","이, 이거,\n쓰러뜨릴 수 있는 건가요!?"
"441","","危ないから、前に出過ぎるなよ！","11","46","57","危ないから、前に出過ぎるなよ！","위험하니까, 너무 앞으로 나가지 마!"
"460","","う、うわ！ 何故そうなる！？","11","41","52","う、うわ！\n何故そうなる！？","우, 우와!\n왜 그렇게 되는 거야!?"
"472","","ソノヨウナ攻撃…… キカヌ！","11","41","52","ソノヨウナ攻撃……\nキカヌ！","그런 공격 따위……\n통하지 않아!"
"571","","忌まわしき影……","11","25","36","忌まわしき影……","""저주스러운 그림자……"""
"572","","この程度の力……","11","25","36","この程度の力……","""이 정도 힘 따위……"""
"630","","呃……？ 這似乎有點牽強……","11","41","52","呃……？\n這似乎有點牽強……","어……?\n이건 좀 억지 같은데……"
"635","","嗚噫噫噫！！ 是禍日神！！","11","38","49","嗚噫噫噫！！\n是禍日神！！","으히이이이!!\n재앙의 태양신이야!!"
"6","","何故マロがこんな目にぃ…… 早く帝都に、戻りたいでおじゃるぅ……","10","95","105","何故マロがこんな目にぃ……\n早く帝都に、戻りたいでおじゃるぅ……","어째서 마로가 이런 꼴을……\n어서 황도에 돌아가고 싶사옵니다……"
"93","","え…？ あ、ははっ……そ、そうですか…… 頼りにならない……ですか……","10","104","114","え…？　あ、ははっ……そ、そうですか……\n頼りにならない……ですか……","에…? 아, 하하…… 그, 그렇군요……\n믿음직하지… 않다……는 건가요……"
"106","","いや、お前がその格好であまり派手に動けないから、 自分達が隠密をやってるんだろうが！","10","125","135","いや、お前がその格好であまり派手に動けないから、\n自分達が隠密をやってるんだろうが！","아니, 네가 그 꼴로는 티 나게 움직이기 힘드니까,\n우리가 은밀 임무를 맡는 거잖아!"
"132","","ミカヅチ殿……こんなところで相まみえるとは…… 左近衛大将の実力、このムネチカが然と見極めよう！ いざ、参る！！","10","165","175","ミカヅチ殿……こんなところで相まみえるとは……\n左近衛大将の実力、このムネチカが然と見極めよう！\nいざ、参る！！","미카즈치 공…… 이런 곳에서 마주치다니……\n좌근위대장의 실력, 이 무네치카가 똑똑히 가려 보겠다!\n자, …"
"184","","お、お化けなんて怖くないのです……！ 迷信なのです！","10","77","87","お、お化けなんて怖くないのです……！\n迷信なのです！","유, 유령 따위 무섭지 않은 거예요……!\n미신인 거예요!"
"216","","ルルティエ、無理するな。 前に出すぎると危ない。","10","71","81","ルルティエ、無理するな。\n前に出すぎると危ない。","루루티에, 무리하지 마.\n너무 앞으로 나가면 위험해."
"218","","ありえん……！ とにかく体勢を建てなおさねば！！","10","71","81","ありえん……！\nとにかく体勢を建てなおさねば！！","말도 안 돼……!\n일단 태세를 다시 갖추지 않으면!!"
"299","","このヒトは、まったく変わらないのです……","10","61","71","このヒトは、まったく変わらないのです……","이 사람은, 정말 하나도 변하지 않았네요……"
"313","","何を言っているんだ…… この姉弟は……","10","56","66","何を言っているんだ……\nこの姉弟は……","무슨 소리를 하는 거야……\n이 남매는……"
"404","","異国の敵…… 今までとは違う……","10","47","57","異国の敵……\n今までとは違う……","이국의 적……\n지금까지와는 달라……"
"446","","こんなのありえないのです……！","10","46","56","こんなのありえないのです……！","이런 건 말도 안 되는 거예요……!"
"518","","我ノ…邪魔ヲ……スルナ！","10","37","47","我ノ…邪魔ヲ……スルナ！","나의… 방해를…… 하지 마라!"
"594","","はいなのです！","10","22","32","はいなのです！","""네! 알겠는 거예요!"""
"640","","趕快找個逃生時機開溜吧！","10","37","47","趕快找個逃生時機開溜吧！","어서 도망칠 틈을 찾아 튀자!"
"668","","嗯，你問我我也……","10","28","38","嗯，你問我我也……","응, 나한테 물어봐도……"
"709","","將牠們凍結吧！","10","22","32","將牠們凍結吧！","놈들을 얼려 버리자!"
"726","","請務必小心。","10","19","29","請務必小心。","부디 조심하십시오."
"17","","早く皇女さんを連れ戻さないと…… 大事になった場合を考えると、恐ろしすぎる！","9","113","122","早く皇女さんを連れ戻さないと……\n大事になった場合を考えると、恐ろしすぎる！","어서 황녀님을 데려오지 않으면……\n큰일이 났을 때를 생각하면, 너무 무서워!"
"65","","なんて身軽な……思ったより速い！ 一気に近づかれないよう気を付けて！","9","101","110","なんて身軽な……思ったより速い！\n一気に近づかれないよう気を付けて！","정말 몸이 가볍네…… 생각보다 빨라!\n단숨에 접근당하지 않게 조심해!"
"67","","コイツらに攻撃される度、肌がヒリヒリする…… なんなんだ、コイツらは？","9","104","113","コイツらに攻撃される度、肌がヒリヒリする……\nなんなんだ、コイツらは？","이놈들에게 공격받을 때마다 피부가 따끔따끔해……\n대체 뭐야, 이놈들은?"
"81","","ありがとう、ネコネ。 まだ大丈夫かな。 でも、危なくなったらお願いできる？","9","108","117","ありがとう、ネコネ。\nまだ大丈夫かな。\nでも、危なくなったらお願いできる？","고마워, 네코네.\n아직은 괜찮을 것 같아.\n하지만 위험해지면 부탁해도 될까?"
"90","","承知した！ 小生は八柱将が一人、鎮守のムネチカ！ 約束を違うことは致しませぬ！","9","114","123","承知した！\n小生は八柱将が一人、鎮守のムネチカ！\n約束を違うことは致しませぬ！","승낙했다!\n소생은 팔주장 중 하나, 진수의 무네치카!\n약속을 어기는 일은 없소!"
"142","","それはそうだが、 直ぐにどうにかできる相手じゃないぞ……！","9","86","95","それはそうだが、\n直ぐにどうにかできる相手じゃないぞ……！","그건 그렇지만,\n당장 어떻게 할 수 있는 상대가 아니야……!"
"145","","貴様、この俺を本気にさせるとは…… 死ぬ覚悟は出来たか！！","9","86","95","貴様、この俺を本気にさせるとは……\n死ぬ覚悟は出来たか！！","네놈… 이 나를 진심으로 만들다니……\n죽을 각오는 됐겠지!!"
"149","","（そして、中の財宝で 薔薇色の人生が俺を……グフフ……）","9","86","95","（そして、中の財宝で\n　薔薇色の人生が俺を……グフフ……）","(그리고 그 안의 보물로\n장밋빛 인생이 나를…… 흐흐흐……)"
"183","","なぜだ？ なぜ、ウズールッシャの者がここにいるんだ？","9","77","86","なぜだ？\nなぜ、ウズールッシャの者がここにいるんだ？","어째서지?\n어째서 우즈울샤의 자들이 여기에 있는 거냐?"
"195","","ぐふっ！ 剣奴は戻らぬか……！？ 役立たずめ……！","9","72","81","ぐふっ！\n剣奴は戻らぬか……！？\n役立たずめ……！","커헉!\n검노는 돌아오지 않느냐……!?\n쓸모없는 놈……!"
"278","","絶対に怪しいにゃも！ 目が泳いでるにゃも！","9","62","71","絶対に怪しいにゃも！\n目が泳いでるにゃも！","절대로 수상하다냐모!\n눈이 흔들리고 있다냐모!"
"323","","あのヒトが来る前にけりをつけないと……","9","58","67","あのヒトが来る前にけりをつけないと……","저 사람이 오기 전에 끝장을 내야 해……"
"413","","とても危険です。 お守りします。","9","47","56","とても危険です。\nお守りします。","아주 위험합니다.\n지켜 드리겠습니다."
"457","","この先、きっとなにかある……","9","43","52","この先、きっとなにかある……","이 앞에 분명 뭔가 있을거야……"
"531","","ナニモ、キコエナイ……","9","34","43","ナニモ、キコエナイ……","아무것도… 들리지 않아……"
"533","","屋根は足場が悪いな……","9","34","43","屋根は足場が悪いな……","지붕은 발판이 안 좋네……"
"537","","何故……汝ノ何処ニ……","9","34","43","何故……汝ノ何処ニ……","어째서…… 네가 어디에……"
"548","","すごく嫌なニオイ……","9","31","40","すごく嫌なニオイ……","정말 기분 나쁜 냄새……"
"615","","莫迦ナ……","9","16","25","莫迦ナ……","말도 안 돼……"
"699","","就憑這點力量……","9","25","34","就憑這點力量……","이 정도 힘 따위……"
"728","","不祥之影……","9","19","28","不祥之影……","불길한 그림자……"
"743","","好可愛……","9","16","25","好可愛……","너무 귀엽다……"
"22","","もうちょっとで、仲間と一緒に織物屋がぁ……！ こんな所で、夢を諦める訳にはいかねぇ！！","8","128","136","もうちょっとで、仲間と一緒に織物屋がぁ……！\nこんな所で、夢を諦める訳にはいかねぇ！！","조금만 더 가면, 동료들이랑 같이 직물가게가……!\n이런 데서 꿈을 포기할 순 없다고!!"
"36","","くっ、コイツらどこから……！ 剣奴は使えん、後続の兵を呼べぇ！","8","92","100","くっ、コイツらどこから……！\n剣奴は使えん、後続の兵を呼べぇ！","크윽, 이놈들 어디서……!\n검노는 쓸모없다, 후속 병력을 불러라!"
"59","","（強い……！！ これまでのどの立ち合いと比べても、まさに別格……！！）","8","107","115","（強い……！！\n　これまでのどの立ち合いと比べても、まさに別格……！！）","(강하다……!!\n지금까지 어떤 겨룸과 비교해도, 그야말로 격이 다르다……!!)"
"125","","これがミカヅチ様の力…！！ 一瞬でも気が抜けない……！ 兄上、見ていて下さい……！！","8","123","131","これがミカヅチ様の力…！！\n一瞬でも気が抜けない……！\n兄上、見ていて下さい……！！","이게 미카즈치 님의 힘…!!\n한순간도 방심할 수 없어……!\n형님, 지켜봐 주세요……!!"
"192","","おいおいウコン…… こりゃ早く逃げないとマズイぞ？","8","74","82","おいおいウコン……\nこりゃ早く逃げないとマズイぞ？","야야 우콘……\n이건 빨리 도망치지 않으면 큰일인데?"
"244","","キウル、流れを変えられる前に一気に押し込むぞ。","8","70","78","キウル、流れを変えられる前に一気に押し込むぞ。","키우루, 흐름이 바뀌기 전에 한꺼번에 밀어붙인다."
"255","","こんな、無茶苦茶あるか！ 退け、退けーッ！！","8","65","73","こんな、無茶苦茶あるか！\n退け、退けーッ！！","이런 말도 안 되는 게 어딨어!\n비켜, 비켜라!!"
"349","","この力……! さっきとは桁違い……！","8","51","59","この力……!\nさっきとは桁違い……！","이 힘……!\n아까와는 차원이 달라……!"
"357","","これでまた一歩、いい女に近付いたな！","8","55","63","これでまた一歩、いい女に近付いたな！","이걸로 또 한 걸음, 좋은 여자가 됐네!"
"373","","ハク……顔が真っ青だけど、大丈夫？","8","52","60","ハク……顔が真っ青だけど、大丈夫？","하쿠…… 얼굴이 새파래졌는데, 괜찮아?"
"453","","鎖の巫の力、とくとご覧下さい。","8","46","54","鎖の巫の力、とくとご覧下さい。","사슬의 무녀의 힘, 똑똑히 보세요."
"475","","うひひ♪ 一番槍もろうたぇ！","8","41","49","うひひ♪\n一番槍もろうたぇ！","히히♪\n첫 공은 내가 가져간다!"
"478","","主様、お怪我はありませんか？","8","43","51","主様、お怪我はありませんか？","주인님, 다치신 데는 없으신가요?"
"501","","駄目だ、聞こえてない……！","8","40","48","駄目だ、聞こえてない……！","안 돼, 들리지도 않나 봐……!"
"503","","ココポ、やりすぎないでね？","8","40","48","ココポ、やりすぎないでね？","코코포, 너무 심하게 하진 마."
"523","","ノスリ、ここは頼めるか？","8","37","45","ノスリ、ここは頼めるか？","노스리, 여기 맡아도 되겠어?"
"587","","是非もなし……","8","22","30","是非もなし……","""어쩔 수 없지……"""
"631","","久遠…… 妳還能繼續作戰嗎？","8","41","49","久遠……\n妳還能繼續作戰嗎？","쿠온……\n계속 싸울 수 있겠어?"
"632","","喔…… 小小姐也挺厲害的嘛！","8","41","49","喔……\n小小姐也挺厲害的嘛！","오……\n작은 아가씨도 제법이네!"
"648","","可可啵…… 不用害怕！","8","32","40","可可啵……\n不用害怕！","코코포……\n무서워하지 마!"
"689","","全軍、一歩前進。","8","25","33","全軍、一歩前進。","전군, 한 걸음 전진."
"690","","全軍，前進一步。","8","25","33","全軍，前進一步。","전군, 한 걸음 전진."
"691","","全軍、二歩前進。","8","25","33","全軍、二歩前進。","전군, 두 걸음 전진."
"692","","全軍，前進二步。","8","25","33","全軍，前進二步。","전군, 두 걸음 전진."
"717","","主人，請退下。","8","22","30","主人，請退下。","주인님, 물러나세요."
"41","","ええい、たかが一人に何をしている！？ 突撃せよ、押しつぶせぃ！！","7","95","102","ええい、たかが一人に何をしている！？\n突撃せよ、押しつぶせぃ！！","에잇, 고작 한 사람 상대로 뭘 하는 거냐!?\n돌격하라, 짓눌러라!!"
"69","","うひひ♪ こんな楽しそうな戦、 うち、もぅ我慢できへんぇ……！","7","92","99","うひひ♪　こんな楽しそうな戦、\nうち、もぅ我慢できへんぇ……！","히히♪ 이렇게 재미있어 보이는 싸움,\n나, 더는 못 참겠네……!"
"150","","モズヌ、お前は良い男にはなれない。 やはり駄目駄目だな。","7","83","90","モズヌ、お前は良い男にはなれない。\nやはり駄目駄目だな。","모즈누, 너는 좋은 남자가 될 수 없다.\n역시 영 틀렸군."
"162","","これより先、小生の領域である。 命惜しくば、引き返せ。","7","80","87","これより先、小生の領域である。\n命惜しくば、引き返せ。","여기부터는 소생의 영역이다.\n목숨이 아깝다면, 돌아가라."
"186","","なるほど……！ では鍛錬の成果、見届けて頂けますか！","7","77","84","なるほど……！\nでは鍛錬の成果、見届けて頂けますか！","그렇군요……!\n그럼 단련의 성과, 지켜봐 주시겠습니까!"
"208","","この命に代えてもお守りするのが、私たちの使命です。","7","76","83","この命に代えてもお守りするのが、私たちの使命です。","이 목숨과 바꿔서라도 지키는 게,\n우리의 사명입니다."
"228","","む、今回はオシュトル殿も一緒か。 よろしく頼む。","7","71","78","む、今回はオシュトル殿も一緒か。\nよろしく頼む。","음, 이번엔 오슈토르 공도 함께인가.\n잘 부탁하오."
"316","","（……コイツはどこまで知ってるんだ？）","7","58","65","（……コイツはどこまで知ってるんだ？）","(……이 자식, 어디까지 알고 있는 거지?)"
"331","","は、はい。 無理せずがんばります……！","7","56","63","は、はい。\n無理せずがんばります……！","네, 네.\n무리하지 않고 힘내겠습니다……!"
"351","","弱音を吐くようなら置いていくのです。","7","55","62","弱音を吐くようなら置いていくのです。","약한 소리 할 거면 두고 가는 거예요."
"367","","ネコネさん、お怒りのようですな……","7","52","59","ネコネさん、お怒りのようですな……","네코네 씨, 화가 나신 모양이군요……"
"380","","気球にフンドシを使ったせいか……？","7","52","59","気球にフンドシを使ったせいか……？","기구에 훈도시를 써서 그런 건가……?"
"396","","此度は某も名を連ねることとする故。","7","52","59","此度は某も名を連ねることとする故。","이번엔 나도 이름을 올리기로 했으니."
"465","","悪い夢でも見てるのかな……？","7","43","50","悪い夢でも見てるのかな……？","악몽이라도 꾸고 있는 건가……?"
"534","","子ども扱いは無用かな！","7","34","41","子ども扱いは無用かな！","어린애 취급은 필요 없어!"
"578","","主様、下がって。","7","25","32","主様、下がって。","""주인님, 물러나세요."""
"582","","ん？ あぁ……","7","22","29","ん？　あぁ……","""응? 아, 그래……"""
"598","","ブチ殺す！！","7","19","26","ブチ殺す！！","""죽여 버리겠어!!"""
"612","","嫌な予感。","7","16","23","嫌な予感。","안 좋은 예감."
"634","","喔！貓音！ 今天請多指教啦！","7","41","48","喔！貓音！\n今天請多指教啦！","오! 네코네!\n오늘 잘 부탁한다!"
"667","","真的……沒問題嗎？","7","28","35","真的……沒問題嗎？","정말…… 괜찮은 거야?"
"670","","真是的，真麻煩……","7","28","35","真是的，真麻煩……","정말, 귀찮게 하네……"
"682","","小哥，你真壞心……","7","28","35","小哥，你真壞心……","오빠, 너무 짓궂다……"
"687","","妳們兩個沒事吧？","7","25","32","妳們兩個沒事吧？","너희 둘 다 괜찮아?"
"710","","瞄準那根管子！","7","22","29","瞄準那根管子！","저 관을 노려 줘!"
"713","","吾乃絕對無敵。","7","22","29","吾乃絕對無敵。","나는 절대무적이다."
"715","","……沒這回事。","7","22","29","……沒這回事。","……그럴 리 없어."
"748","","怎麼了？","7","13","20","怎麼了？","어떻게 됐어?"
"761","","御意。","7","10","17","御意。","알겠습니다."
"15","","シャバでバカ騒ぎしたかったのによ！ ぶっとばしてやるじゃん！","6","89","95","シャバでバカ騒ぎしたかったのによ！\nぶっとばしてやるじゃん！","밖에서 실컷 난리치고 싶었는데 말이지!\n한 방 먹여 주겠어!"
"47","","皇の元に再び集い、 ウズールッシャは必ずや復活する！ そして、この地を取り戻す！！","6","120","126","皇の元に再び集い、\nウズールッシャは必ずや復活する！\nそして、この地を取り戻す！！","황제의 곁에 다시 모여,\n우즈울샤는 반드시 부활한다!\n그리고 이 땅을 되찾겠다!!"
"63","","強いって話だったが…… チッ、こいつは聞いてたよりやばいじゃない。","6","98","104","強いって話だったが……\nチッ、こいつは聞いてたよりやばいじゃない。","강하단 얘긴 들었지만……\n쳇, 이건 듣던 것보다 훨씬 위험하잖아."
"68","","汝ら如きでは、我を倒す事はかなわぬ。 邪魔だ……消え失せろ…！","6","92","98","汝ら如きでは、我を倒す事はかなわぬ。\n邪魔だ……消え失せろ…！","너희 따위로는 나를 쓰러뜨릴 수 없다.\n거슬려…… 사라져라…!"
"78","","こいつらの攻撃はまずいな…… みんな！ 無理に近づく必要は無いぞ！","6","98","104","こいつらの攻撃はまずいな……\nみんな！　無理に近づく必要は無いぞ！","이놈들 공격은 위험해……\n다들! 무리해서 가까이 갈 필요는 없어!"
"143","","僕が動きを止めますので、 姉上はヤツの目を狙ってください。","6","86","92","僕が動きを止めますので、\n姉上はヤツの目を狙ってください。","제가 움직임을 멈출 테니,\n언니는 놈의 눈을 노려 주세요."
"261","","（祖國の心配では無く、小生の身を案じて……）","6","67","73","（祖國の心配では無く、小生の身を案じて……）","(조국을 걱정한 게 아니라, 소생의 안위를……)"
"303","","ネコネさん、 危険ですから、私の後ろに！","6","59","65","ネコネさん、\n危険ですから、私の後ろに！","네코네 씨,\n위험하니 제 뒤로 와 주세요!"
"310","","結局、俺らで捕まえることになるのか……","6","58","64","結局、俺らで捕まえることになるのか……","결국 우리가 직접 붙잡게 되는 건가……"
"344","","クオン…… この戦い、続けられるか？","6","53","59","クオン……\nこの戦い、続けられるか？","쿠온……\n이 싸움, 계속할 수 있겠어?"
"348","","この者達からは不吉な臭いがします……","6","55","61","この者達からは不吉な臭いがします……","이자들에게선 불길한 냄새가 납니다……"
"387","","今まで色んな奴を斬ってきたけど……","6","52","58","今まで色んな奴を斬ってきたけど……","지금까지 별별 놈을 베어 왔지만……"
"438","","はぁ……どうしてこうなった……","6","46","52","はぁ……どうしてこうなった……","하아…… 어쩌다 이렇게 됐지……"
"442","","え……？ さすがに、それは……","6","44","50","え……？\nさすがに、それは……","에……?\n아무리 그래도, 그건……"
"550","","はっ、はいなのです！","6","31","37","はっ、はいなのです！","네, 네! 알겠는 거예요!"
"554","","丁重にお断りします。","6","31","37","丁重にお断りします。","""정중히 사양하겠습니다."""
"557","","構わん、続けろ……","6","28","34","構わん、続けろ……","""상관없다, 계속해……"""
"559","","奴らを凍らせよう！","6","28","34","奴らを凍らせよう！","""놈들을 얼려 버리자!"""
"561","","しゃんとするです。","6","28","34","しゃんとするです。","""정신 차리는 거예요."""
"562","","沈メ！ ヴライ！！","6","26","32","沈メ！\nヴライ！！","""가라앉아라!\n브라이!!"""
"660","","久遠！ 妳太著急了！","6","29","35","久遠！\n妳太著急了！","쿠온!\n너무 서두르잖아!"
"662","","沒錯，就是要這樣！！","6","31","37","沒錯，就是要這樣！！","그래, 그래야 재미있지!!"
"679","","那就快點解決吧……","6","28","34","那就快點解決吧……","그럼 빨리 끝내자……"
"707","","失、失禮了！！","6","22","28","失、失禮了！！","시, 실례했습니다!!"
"66","","とどめをさしたのに、血が一滴も出ないとは…… なかなか面白くなってきましたね。","5","116","121","とどめをさしたのに、血が一滴も出ないとは……\nなかなか面白くなってきましたね。","마무리를 지었는데도 피가 한 방울도 나오지 않다니……\n점점 재미있어지네요."
"87","","それは良かったです！ また実は……先日こういうものが手に入りまして……","5","104","109","それは良かったです！\nまた実は……先日こういうものが手に入りまして……","그랬다니 다행이에요!\n사실 또…… 지난번에 이런 걸 손에 넣어서……"
"92","","キウルの後ろに隠れるほど、ヤワじゃないのです。 あとキウルは後衛だから、 盾役はあまり期待してないのです。","5","156","161","キウルの後ろに隠れるほど、ヤワじゃないのです。\nあとキウルは後衛だから、\n盾役はあまり期待してないのです。","키우루 뒤에 숨을 정도로 약하진 않아요.\n그리고 키우루는 후위니까,\n방패 역할은 별로 기대 안 해요."
"108","","まったく…… まぁ、お前がいてくれたら任務も早く済みそうだしな。 よろしく頼む！","5","117","122","まったく……\nまぁ、お前がいてくれたら任務も早く済みそうだしな。\nよろしく頼む！","정말……\n뭐, 네가 있어 주면 임무도 빨리 끝날 것 같긴 하네.\n잘 부탁한다!"
"177","","怖いけど…… 頑張ります……！ ココポ、一緒に頑張ろ！","5","78","83","怖いけど……\n頑張ります……！\nココポ、一緒に頑張ろ！","무섭지만……\n힘낼게요……!\n코코포, 우리 같이 힘내자!"
"249","","間近で見ると、コイツとんでもない大きさだぞ！","5","67","72","間近で見ると、コイツとんでもない大きさだぞ！","가까이서 보니, 이놈 크기가 말도 안 되잖아!"
"311","","バカだけど力だけはあるから、注意して！","5","58","63","バカだけど力だけはあるから、注意して！","바보긴 해도 힘 하나는 세니까, 조심해!"
"312","","キウル様…… 具合が悪そうですが……？","5","56","61","キウル様……\n具合が悪そうですが……？","키우루 님……\n어디가 편찮으신가요……?"
"322","","これ、ぱっと見には飴細工っぽくないけ？","5","58","63","これ、ぱっと見には飴細工っぽくないけ？","이거, 겉보기엔 엿사탕 공예 같지 않아?"
"325","","一瞬でも気を抜けば、命はないかな……！","5","58","63","一瞬でも気を抜けば、命はないかな……！","한순간이라도 방심하면, 목숨이 없다……!"
"366","","確かに、こりゃ心配の必要は無いな。","5","52","57","確かに、こりゃ心配の必要は無いな。","그러게, 이건 걱정할 필요도 없겠네."
"368","","ハク…？ よだれが垂れてるかな……","5","50","55","ハク…？\nよだれが垂れてるかな……","하쿠…?\n침이 흐르는 것 같은데……"
"382","","ココポ、足場が悪いから注意してね。","5","52","57","ココポ、足場が悪いから注意してね。","코코포, 발밑이 안 좋으니까 조심해."
"386","","くくっ、うまそうな獲物ではないか。","5","52","57","くくっ、うまそうな獲物ではないか。","크큭, 꽤 맛있어 보이는 먹잇감이군."
"426","","おごりなら、いつでもつきあうぞ。","5","49","54","おごりなら、いつでもつきあうぞ。","네가 쏜다니, 언제든 어울려 주지."
"469","","間違いなく、こいつが最強だ！","5","43","48","間違いなく、こいつが最強だ！","틀림없어, 이 녀석이 최강이야!"
"493","","旦那、顔色が悪いじゃない？","5","40","45","旦那、顔色が悪いじゃない？","주인장, 얼굴빛이 안 좋은데?"
"517","","ココポ…… 怯えないで！","5","35","40","ココポ……\n怯えないで！","코코포……\n무서워하지 마!"
"525","","姉様、怪我はないですか？","5","37","42","姉様、怪我はないですか？","언니, 다치신 데는 없나요?"
"567","","言うじゃない……","5","25","30","言うじゃない……","""말 좀 하는데……"""
"573","","我ガ手モ足モ……","5","25","30","我ガ手モ足モ……","""내 손도 발도……"""
"597","","へい、頭！！","5","19","24","へい、頭！！","""이봐, 머리통!!"""
"659","","哈克大人，您沒事吧？","5","31","36","哈克大人，您沒事吧？","하쿠 님, 괜찮으신가요?"
"694","","嗯，我知道……！","5","25","30","嗯，我知道……！","응, 알고 있어……!"
"704","","咕嚕！咕嚕嚕！","5","22","27","咕嚕！咕嚕嚕！","구르르! 구르르르!"
"731","","不，沒什麼。","5","19","24","不，沒什麼。","아니, 아무것도."
"742","","喂，妳們！","5","16","21","喂，妳們！","이봐, 너희들!"
"23","","（仕方ない…… こうなれば行くとこまで行ってしまおう……！）","4","92","96","（仕方ない……\n　こうなれば行くとこまで行ってしまおう……！）","(어쩔 수 없지……\n이렇게 된 이상 갈 데까지 가 보자……!)"
"242","","にょほ…… 少し休ませてほしいでおじゃるよ……","4","68","72","にょほ……\n少し休ませてほしいでおじゃるよ……","냐호……\n조금 쉬게 해 주셨으면 하옵니다……"
"262","","いいえ、姉上。 この方々は少々違うようです。","4","65","69","いいえ、姉上。\nこの方々は少々違うようです。","아니요, 언니.\n이분들은 좀 다른 것 같아요."
"288","","ヒィーー く、来るなァァァァァァァァァァ","4","61","65","ヒィーー　く、来るなァァァァァァァァァァ","히이이ー! 오, 오지 마아아아아아아아아아!!"
"320","","ハクさま、無理はなさらないで下さい……","4","58","62","ハクさま、無理はなさらないで下さい……","하쿠 님, 무리는 하지 말아 주세요……"
"328","","ネコネ、アトゥイの援護を頼む！ 早く！","4","56","60","ネコネ、アトゥイの援護を頼む！\n早く！","네코네, 아투이 지원을 부탁한다!\n어서!"
"385","","汝ら如きが、 我に歯向かうかッ！！","4","50","54","汝ら如きが、\n我に歯向かうかッ！！","너희 따위가,\n감히 나에게 대들어!!"
"397","","仮面の者の力、 その身に刻めぃ！！","4","50","54","仮面の者の力、\nその身に刻めぃ！！","가면의 자의 힘,\n그 몸에 새겨라!!"
"411","","ああ…… 何となくだがわかる……","4","47","51","ああ……\n何となくだがわかる……","아아……\n어쩐지 알 것 같아……"
"435","","降参なんてするわけねぇじゃん？","4","46","50","降参なんてするわけねぇじゃん？","항복 같은 걸 할 리가 없잖아?"
"436","","お前らとの腐れ縁も長かったな。","4","46","50","お前らとの腐れ縁も長かったな。","너희랑의 질긴 악연도 오래됐지."
"455","","このコ、本当にいい子なんです","4","43","47","このコ、本当にいい子なんです","이 아이, 정말 착한 아이예요"
"467","","うぅ……気持ち悪いです……！","4","43","47","うぅ……気持ち悪いです……！","우으…… 속이 안 좋아요……!"
"490","","貴様ら！ ヤマトの者か！？","4","38","42","貴様ら！\nヤマトの者か！？","네놈들!\n야마토의 자들이냐!?"
"491","","まぁ、そこで見てなって……","4","40","44","まぁ、そこで見てなって……","뭐, 거기서 보고만 있어……"
"535","","いや……ぁ……ぁ……！","4","34","38","いや……ぁ……ぁ……！","아니…… 아…… 아……!"
"592","","いや、なにも。","4","22","26","いや、なにも。","""아니, 아무것도."""
"610","","どうした？","4","16","20","どうした？","어떻게 됐어?"
"626","","恐悦至極。","4","16","20","恐悦至極。","황공하옵니다."
"626","","恐悦至極。","4","16","20","恐悦至極。","황공하옵니다."
"646","","不要……啊……啊……！","4","34","38","不要……啊……啊……！","싫어…… 아…… 아……!"
"652","","久遠應該沒事吧……？","4","31","35","久遠應該沒事吧……？","쿠온은 괜찮으려나……?"
"655","","是、是——！遵命！！","4","31","35","是、是——！遵命！！","네, 네—! 알겠습니다!!"
"672","","無所謂，繼續吧……","4","28","32","無所謂，繼續吧……","상관없다, 계속해……"
"696","","我會遵從大姊的。","4","25","29","我會遵從大姊的。","언니 말대로 하죠."
"727","","不好的預感。","4","19","23","不好的預感。","안 좋은 예감."
"734","","要認真上了。","4","19","23","要認真上了。","진심으로 간다."
"753","","我沒事。","4","13","17","我沒事。","난 괜찮아."
"84","","なぁなぁ、ルルやん。 ルルやんはああいうむさ苦しい、 男の友情？ってのが好きなのけ？","3","123","126","なぁなぁ、ルルやん。\nルルやんはああいうむさ苦しい、\n男の友情？ってのが好きなのけ？","어이, 루루야.\n루루야는 저런 답답할 정도의\n남자들의 우정? 같은 게 좋은 거야?"
"99","","なるほど、皇子様だったか。 うちの娘と仲良くなれそうじゃない。","3","92","95","なるほど、皇子様だったか。\nうちの娘と仲良くなれそうじゃない。","그렇다면 황자님이었나.\n우리 딸하고도 잘 지낼 수 있겠는걸."
"124","","うぅ…… こ、怖くないのです…… わ、わたしが相手になってやるのです！！","3","105","108","うぅ……\nこ、怖くないのです……\nわ、わたしが相手になってやるのです！！","으으……\n무, 무섭지 않은 거예요……\n내, 내가 상대해 주는 거예요!!"
"158","","ハク殿！ 今日は、マロがハク殿を守ってみせるでおじゃ！","3","80","83","ハク殿！\n今日は、マロがハク殿を守ってみせるでおじゃ！","하쿠님!\n오늘은 마로가 하쿠님을 지켜 보이겠사옵니다!"
"167","","平気です…… これくらいの傷、なんともありません……！","3","80","83","平気です……\nこれくらいの傷、なんともありません……！","괜찮습니다……\n이 정도 상처, 아무것도 아니에요……!"
