group_key,priority,group_size,jp_type,rep_offset,rep_end,ja,ja_tpl,ja_clean,locks,kr_tpl,kr_tpl_encoded,kr_detok_from_cat,kr_detok_from_cat_encoded,has_kr
うむ！ オウギ！！ 背後は私に任せて、奴らを切り刻んでやれ！,70,1,normal,296493,296582,"うむ！　オウギ！！
背後は私に任せて、奴らを切り刻んでやれ！","うむ！　オウギ！！
背後は私に任せて、奴らを切り刻んでやれ！","うむ！　オウギ！！
背後は私に任せて、奴らを切り刻んでやれ！",[],"음!　오우기!!
뒤는　맡기고,　놈들을　찢어　버려라!","暇!　遺員握!!
響位　具握渦,　雇塊逢　侃羽　丸闇悪!","음!　오우기!!
뒤는　맡기고,　놈들을　찢어　버려라!","暇!　遺員握!!
響位　具握渦,　雇塊逢　侃羽　丸闇悪!",1
はっはっは！ 違ぇねぇ！ 今日は俺も参加させてもらうぜ！ そうだ、この任務が終わったら皆で一杯どうだ？,70,1,normal,297129,297279,"はっはっは！　違ぇねぇ！
今日は俺も参加させてもらうぜ！
そうだ、この任務が終わったら皆で一杯どうだ？","はっはっは！　違ぇねぇ！
今日は俺も参加させてもらうぜ！
そうだ、この任務が終わったら皆で一杯どうだ？","はっはっは！　違ぇねぇ！
今日は俺も参加させてもらうぜ！
そうだ、この任務が終わったら皆で一杯どうだ？",[],"하하하!　맞는　말이야!
오늘은　나도　끼워줘!
그래,　이　임무　끝나면　다　같이　한잔　어때?","圧圧圧!　儀位　訓挨因!
遺旗宴　詠雨　寒技荒!
加吃,　挨　宇異　仰詠延　愛　堅挨　易却　羽還?","하하하!　맞는　말이야!
오늘은　나도　끼워줘!
그래,　이　임무　끝나면　다　같이　한잔　어때?","圧圧圧!　儀位　訓挨因!
遺旗宴　詠雨　寒技荒!
加吃,　挨　宇異　仰詠延　愛　堅挨　易却　羽還?",1
よし！ じゃあパパっと終わらせるか！ 今日はウコンのおごりだな！,70,1,normal,297529,297624,"よし！　じゃあパパっと終わらせるか！
今日はウコンのおごりだな！","よし！　じゃあパパっと終わらせるか！
今日はウコンのおごりだな！","よし！　じゃあパパっと終わらせるか！
今日はウコンのおごりだな！",[],"좋아!　그럼　후딱　끝내볼까!
오늘은　우콘이　쏘는　거다!","窟違!　加骨　環等　仰笠広垣!
遺旗宴　員簡挨　捨位　過愛!","좋아!　그럼　후딱　끝내볼까!
오늘은　우콘이　쏘는　거다!","窟違!　加骨　環等　仰笠広垣!
遺旗宴　員簡挨　捨位　過愛!",1
ムネチカ殿か。 こうして肩を並べることは滅多に無いな。 ともに戦に臨むは、楽しみでもある。,70,1,normal,298123,298255,"ムネチカ殿か。
こうして肩を並べることは滅多に無いな。
ともに戦に臨むは、楽しみでもある。","ムネチカ殿か。
こうして肩を並べることは滅多に無いな。
ともに戦に臨むは、楽しみでもある。","ムネチカ殿か。
こうして肩を並べることは滅多に無いな。
ともに戦に臨むは、楽しみでもある。",[],"무네치카　공이로군.
이렇게　함께　전장에　나서는　건　드문　일이지.　즐겁겠구려.","異拐越陰　引挨偉改.
挨紹映　基兄　鋭壱綾　詠溢位　虐　割鬼　泳挨移.　鎖肖間牙闇.","무네치카　공이로군.
이렇게　함께　전장에　나서는　건　드문　일이지.　즐겁겠구려.","異拐越陰　引挨偉改.
挨紹映　基兄　鋭壱綾　詠溢位　虐　割鬼　泳挨移.　鎖肖間牙闇.",1
小生もだ。 其方の武、しかとこの目に焼き付け、 勉強させて頂く所存。 よろしく頼む。,70,1,normal,298508,298631,"小生もだ。
其方の武、しかとこの目に焼き付け、
勉強させて頂く所存。　よろしく頼む。","小生もだ。
其方の武、しかとこの目に焼き付け、
勉強させて頂く所存。　よろしく頼む。","小生もだ。
其方の武、しかとこの目に焼き付け、
勉強させて頂く所存。　よろしく頼む。",[],"소생역시.
그대의　무공을　이　눈에　똑똑히　새겨,
배움으로　삼겠소.　잘　부탁하오.","怨絵脅畏.
加域哀　異引逢　挨　欠綾　拘拘蓋　帰及,
戯弓園偉　孤間怨.　誇　噂京圧遺.","소생역시.
그대의　무공을　이　눈에　똑똑히　새겨,
배움으로　삼겠소.　잘　부탁하오.","怨絵脅畏.
加域哀　異引逢　挨　欠綾　拘拘蓋　帰及,
戯弓園偉　孤間怨.　誇　噂京圧遺.",1
……ん！？ おいっ！ オシュトル！ なんでお前が参加してるんだよ！,70,1,normal,298953,299049,"……ん！？
おいっ！　オシュトル！
なんでお前が参加してるんだよ！","……ん！？
おいっ！　オシュトル！
なんでお前が参加してるんだよ！","……ん！？
おいっ！　オシュトル！
なんでお前が参加してるんだよ！",[],"……응!?
야!　오슈토르!
왜　네가　참가하고　있는　거야!","……困!?
因!　遺巨謁押!
躰　拐安　楽安圧渦　英位　過因!","……응!?
야!　오슈토르!
왜　네가　참가하고　있는　거야!","……困!?
因!　遺巨謁押!
躰　拐安　楽安圧渦　英位　過因!",1
いや、お前がその格好であまり派手に動けないから、 自分達が隠密をやってるんだろうが！,70,1,normal,299276,299401,"いや、お前がその格好であまり派手に動けないから、
自分達が隠密をやってるんだろうが！","いや、お前がその格好であまり派手に動けないから、
自分達が隠密をやってるんだろうが！","いや、お前がその格好であまり派手に動けないから、
自分達が隠密をやってるんだろうが！",[],"아니,　네　그　꼴로는　티　나게　움직이기　힘드니까,
밀정　임무를　맡는　거잖아!","違依,　拐　加　掃偉位　棺　詠映　弓揮挨握　狭割依垣,
宴勧　宇異扱　具位　過芋違!","아니,　네　그　꼴로는　티　나게　움직이기　힘드니까,
밀정　임무를　맡는　거잖아!","違依,　拐　加　掃偉位　棺　詠映　弓揮挨握　狭割依垣,
宴勧　宇異扱　具位　過芋違!",1
フッ……そなたの言うとおりではあるが、 執務ばかりでは腕が鈍るのでな。 少しだけ、某にも働かせて頂こう。,70,1,normal,299578,299731,"フッ……そなたの言うとおりではあるが、
執務ばかりでは腕が鈍るのでな。
少しだけ、某にも働かせて頂こう。","フッ……そなたの言うとおりではあるが、
執務ばかりでは腕が鈍るのでな。
少しだけ、某にも働かせて頂こう。","フッ……そなたの言うとおりではあるが、
執務ばかりでは腕が鈍るのでな。
少しだけ、某にも働かせて頂こう。",[],"후……　네　말이　틀린　것은　아니나,
책상에만　있으면　팔이　무뎌지니.
조금,　힘을　보태도록　하지.","環……　拐　訓挨　甲疑　機宴　違依詠,
挟姐綾菓　英園延　恵挨　異諦移依.
河崖,　狭逢　永悦雨祈　圧移.","후……　네　말이　틀린　것은　아니나,
책상에만　있으면　팔이　무뎌지니.
조금,　힘을　보태도록　하지.","環……　拐　訓挨　甲疑　機宴　違依詠,
挟姐綾菓　英園延　恵挨　異諦移依.
河崖,　狭逢　永悦雨祈　圧移.",1
まったく…… まぁ、お前がいてくれたら任務も早く済みそうだしな。 よろしく頼む！,70,1,normal,300007,300124,"まったく……
まぁ、お前がいてくれたら任務も早く済みそうだしな。
よろしく頼む！","まったく……
まぁ、お前がいてくれたら任務も早く済みそうだしな。
よろしく頼む！","まったく……
まぁ、お前がいてくれたら任務も早く済みそうだしな。
よろしく頼む！",[],"정말……
뭐,　네가　있어　주면　임무도　빨리　끝날　것　같네.
잘　부탁한다!","右訓……
志,　拐安　英羽　遠延　宇異雨　織以　仰宮　機　堅拐.
誇　噂京易愛!","정말……
뭐,　네가　있어　주면　임무도　빨리　끝날　것　같네.
잘　부탁한다!","右訓……
志,　拐安　英羽　遠延　宇異雨　織以　仰宮　機　堅拐.
誇　噂京易愛!",1
たまには妹の勇姿を間近で見ておこうと思ってな。 今日は、よろしく頼むぞ。,70,1,normal,300581,300688,"たまには妹の勇姿を間近で見ておこうと思ってな。
今日は、よろしく頼むぞ。","たまには妹の勇姿を間近で見ておこうと思ってな。
今日は、よろしく頼むぞ。","たまには妹の勇姿を間近で見ておこうと思ってな。
今日は、よろしく頼むぞ。",[],"가끔은　여동생의　활약을　가까이서　보고　싶어서　말이지.
잘　부탁한다.","安村宴　各栄絵哀　吉歓逢　安垣挨溢　永渦　検羽溢　訓挨移.
誇　噂京易愛.","가끔은　여동생의　활약을　가까이서　보고　싶어서　말이지.
잘　부탁한다.","安村宴　各栄絵哀　吉歓逢　安垣挨溢　永渦　検羽溢　訓挨移.
誇　噂京易愛.",1
なんか釈然としないのです…… でも終わったら、ちゃんと屋敷に戻るのですよ！ 仕事も溜まっているですから！,70,1,normal,300866,301019,"なんか釈然としないのです……
でも終わったら、ちゃんと屋敷に戻るのですよ！
仕事も溜まっているですから！","なんか釈然としないのです……
でも終わったら、ちゃんと屋敷に戻るのですよ！
仕事も溜まっているですから！","なんか釈然としないのです……
でも終わったら、ちゃんと屋敷に戻るのですよ！
仕事も溜まっているですから！",[],"납득이　안　된다냐모……
그래도　끝나면,　꼭　저택으로　돌아가는거다냐모!
일도　잔뜩　쌓여　있다냐모!","疾花挨　貫　画愛主逸……
加吃雨　仰詠延,　層　敢轄園偉　獲違安位過愛主逸!
泳雨　却乳　采各　英愛主逸!","납득이　안　된다냐모……
그래도　끝나면,　꼭　저택으로　돌아가는거다냐모!
일도　잔뜩　쌓여　있다냐모!","疾花挨　貫　画愛主逸……
加吃雨　仰詠延,　層　敢轄園偉　獲違安位過愛主逸!
泳雨　却乳　采各　英愛主逸!",1
義弟の成長ぶりが気になってな。 たまには某も参加することにした。,70,1,normal,301653,301748,"義弟の成長ぶりが気になってな。
たまには某も参加することにした。","義弟の成長ぶりが気になってな。
たまには某も参加することにした。","義弟の成長ぶりが気になってな。
たまには某も参加することにした。",[],"의제의　성장한　모습이　궁금해서.
가끔은　나도　참가하지.","哀応哀　椅壱易　逸隠挨　謹崖井溢.
安村宴　詠雨　楽安圧移.","의제의　성장한　모습이　궁금해서.
가끔은　나도　참가하지.","哀応哀　椅壱易　逸隠挨　謹崖井溢.
安村宴　詠雨　楽安圧移.",1
なぁなぁ、オシュトルは～ん。 うちといっぺんたたこうてくれへん？,70,1,normal,302343,302438,"なぁなぁ、オシュトルは～ん。
うちといっぺんたたこうてくれへん？","なぁなぁ、オシュトルは～ん。
うちといっぺんたたこうてくれへん？","なぁなぁ、オシュトルは～ん。
うちといっぺんたたこうてくれへん？",[],"저기,　오슈토르　씨~.
나랑　한　판　겨뤄　주면　안　될까?","敢握,　遺巨謁押　商~.
詠郷　易　建　及準　遠延　貫　晒垣?","저기,　오슈토르　씨~.
나랑　한　판　겨뤄　주면　안　될까?","敢握,　遺巨謁押　商~.
詠郷　易　建　及準　遠延　貫　晒垣?",1
アトゥイ殿か。 某も一度手合わせ願いたいものだが、 もし何かあればソヤンケクル殿に合わせる顔がない。 申し訳ないが、また別の機会に。,70,1,normal,302575,302770,"アトゥイ殿か。　某も一度手合わせ願いたいものだが、
もし何かあればソヤンケクル殿に合わせる顔がない。
申し訳ないが、また別の機会に。","アトゥイ殿か。　某も一度手合わせ願いたいものだが、
もし何かあればソヤンケクル殿に合わせる顔がない。
申し訳ないが、また別の機会に。","アトゥイ殿か。　某も一度手合わせ願いたいものだが、
もし何かあればソヤンケクル殿に合わせる顔がない。
申し訳ないが、また別の機会に。",[],"아투이　공이로군.　붙어　보고　싶지만,
무슨　일이라도　생기면　소얀케쿠루　공을　뵐　면목이　없소.
미안하오만,　다음　기회에.","違凹挨　引挨偉改.　険羽　永渦　検移菓,
異嬢　泳挨悪雨　絵握延　怨床階音餌　引逢　泡　延乙挨　緩怨.
影貫圧遺菓,　愛暇　握演綾.","아투이　공이로군.　붙어　보고　싶지만,
무슨　일이라도　생기면　소얀케쿠루　공을　뵐　면목이　없소.
미안하오만,　다음　기회에.","違凹挨　引挨偉改.　険羽　永渦　検移菓,
異嬢　泳挨悪雨　絵握延　怨床階音餌　引逢　泡　延乙挨　緩怨.
影貫圧遺菓,　愛暇　握演綾.",1
とと様のことは、気にせんでもええのに～…… オシュトルはん程の漢はなかなかおらんから、 いっぺんたたこうてみたいわ～。,70,1,normal,303088,303262,"とと様のことは、気にせんでもええのに～……
オシュトルはん程の漢はなかなかおらんから、
いっぺんたたこうてみたいわ～。","とと様のことは、気にせんでもええのに～……
オシュトルはん程の漢はなかなかおらんから、
いっぺんたたこうてみたいわ～。","とと様のことは、気にせんでもええのに～……
オシュトルはん程の漢はなかなかおらんから、
いっぺんたたこうてみたいわ～。",[],"아버지는　신경　안　써도　되는데~……
오슈토르　씨만큼의　사내는　흔치　않으니까,
한　번쯤　겨뤄　보고　싶네~.","違丸移位　縁壊　貫　肯雨　憶位戒~……
遺巨謁押　商菓四哀　為笠位　昇越　慣園依垣,
易　幹栢　及準　永渦　検拐~.","아버지는　신경　안　써도　되는데~……
오슈토르　씨만큼의　사내는　흔치　않으니까,
한　번쯤　겨뤄　보고　싶네~.","違丸移位　縁壊　貫　肯雨　憶位戒~……
遺巨謁押　商菓四哀　為笠位　昇越　慣園依垣,
易　幹栢　及準　永渦　検拐~.",1
うぉっ！！ ウコン！！ 今お前わざと避けただろ！ 危なかったっつーの！,70,1,normal,304183,304285,"うぉっ！！　ウコン！！
今お前わざと避けただろ！
危なかったっつーの！","うぉっ！！　ウコン！！
今お前わざと避けただろ！
危なかったっつーの！","うぉっ！！　ウコン！！
今お前わざと避けただろ！
危なかったっつーの！",[],"우왓!!　우콘!!
방금　일부러　피한　거지!
위험했잖아!","員躙!!　員簡!!
殴崖　泳噂暗　果易　過移!
仮境火芋違!","우왓!!　우콘!!
방금　일부러　피한　거지!
위험했잖아!","員躙!!　員簡!!
殴崖　泳噂暗　果易　過移!
仮境火芋違!",1
ハッハッハッハッ！ まったく、アンちゃんといると退屈しねぇぜ！,70,1,normal,304435,304527,"ハッハッハッハッ！
まったく、アンちゃんといると退屈しねぇぜ！","ハッハッハッハッ！
まったく、アンちゃんといると退屈しねぇぜ！","ハッハッハッハッ！
まったく、アンちゃんといると退屈しねぇぜ！",[],"하하하하하!
정말,　형씨랑　있으면　지루할　틈이　없다니까!","圧圧圧圧圧!
右訓,　央商郷　英園延　移餌横　牽挨　緩愛依垣!","하하하하하!
정말,　형씨랑　있으면　지루할　틈이　없다니까!","圧圧圧圧圧!
右訓,　央商郷　英園延　移餌横　牽挨　緩愛依垣!",1
兄様！？ またそんな格好して…… だらしがないから、もっとしっかりするですよ！,70,1,normal,304782,304896,"兄様！？
またそんな格好して……
だらしがないから、もっとしっかりするですよ！","兄様！？
またそんな格好して……
だらしがないから、もっとしっかりするですよ！","兄様！？
またそんな格好して……
だらしがないから、もっとしっかりするですよ！",[],"오라버니!?
또　그런　꼴로……
꼴이　말이　아니네,　좀　제대로　하는　거예요!","遺悪丸依!?
飢　加佐　掃偉……
掃挨　訓挨　違依拐,　死　応域偉　圧位　過距俄!","오라버니!?
또　그런　꼴로……
꼴이　말이　아니네,　좀　제대로　하는　거예요!","遺悪丸依!?
飢　加佐　掃偉……
掃挨　訓挨　違依拐,　死　応域偉　圧位　過距俄!",1
ハッハッハッハッ！ まぁ、そういうなって！ 終わったらサっちゃんとこで、 飴細工買ってやるからよ！,70,1,normal,305091,305235,"ハッハッハッハッ！　まぁ、そういうなって！
終わったらサっちゃんとこで、
飴細工買ってやるからよ！","ハッハッハッハッ！　まぁ、そういうなって！
終わったらサっちゃんとこで、
飴細工買ってやるからよ！","ハッハッハッハッ！　まぁ、そういうなって！
終わったらサっちゃんとこで、
飴細工買ってやるからよ！",[],"하하하하하!　에이,　그러지　마!
끝나면　사짱네　가서,
엿사탕　공예　사　줄　테니까!","圧圧圧圧圧!　綾挨,　加暗移　維!
仰詠延　為廻拐　安溢,
縦為講　引距　為　局　起依垣!","하하하하하!　에이,　그러지　마!
끝나면　사짱네　가서,
엿사탕　공예　사　줄　테니까!","圧圧圧圧圧!　綾挨,　加暗移　維!
仰詠延　為廻拐　安溢,
縦為講　引距　為　局　起依垣!",1
え！ いいのですか…！？ だったら早く終わらせるのです！ 全力で行くですよ！,70,1,normal,305405,305516,"え！　いいのですか…！？
だったら早く終わらせるのです！
全力で行くですよ！","え！　いいのですか…！？
だったら早く終わらせるのです！
全力で行くですよ！","え！　いいのですか…！？
だったら早く終わらせるのです！
全力で行くですよ！",[],"네!　정말요…!?
그럼　얼른　끝내는　거예요!
전력으로　가는　거예요!","拐!　右訓俄…!?
加骨　敬脚　仰笠位　過距俄!
鋭威園偉　安位　過距俄!","네!　정말요…!?
그럼　얼른　끝내는　거예요!
전력으로　가는　거예요!","拐!　右訓俄…!?
加骨　敬脚　仰笠位　過距俄!
鋭威園偉　安位　過距俄!",1
そいつは良かった！ 今日は俺も任務に参加させてもらうからよ！ 背中の守り、頼んだぜ！,70,1,normal,306193,306316,"そいつは良かった！
今日は俺も任務に参加させてもらうからよ！
背中の守り、頼んだぜ！","そいつは良かった！
今日は俺も任務に参加させてもらうからよ！
背中の守り、頼んだぜ！","そいつは良かった！
今日は俺も任務に参加させてもらうからよ！
背中の守り、頼んだぜ！",[],"그거　잘　됐네!
오늘은　나도　임무에　참가할　테니까!
등은　맡긴다!","加過　誇　手拐!
遺旗宴　詠雨　宇異綾　楽安横　起依垣!
企宴　具罪愛!","그거　잘　됐네!
오늘은　나도　임무에　참가할　테니까!
등은　맡긴다!","加過　誇　手拐!
遺旗宴　詠雨　宇異綾　楽安横　起依垣!
企宴　具罪愛!",1
やべぇ！？ 見つかっちまった！！ さっさと逃げるじゃんよ！！,70,1,normal,306597,306686,"やべぇ！？　見つかっちまった！！
さっさと逃げるじゃんよ！！","やべぇ！？　見つかっちまった！！
さっさと逃げるじゃんよ！！","やべぇ！？　見つかっちまった！！
さっさと逃げるじゃんよ！！",[],"큰일이야!?　들켜　버렸어!!
얼른　도망치는거다냐모!!","軽泳挨因!?　塊軍　丸室羽!!
敬脚　雨供越位過愛主逸!!","큰일이야!?　들켜　버렸어!!
얼른　도망치는거다냐모!!","軽泳挨因!?　塊軍　丸室羽!!
敬脚　雨供越位過愛主逸!!",1
左近衛大将ミカヅチ…… こいつ…マジでヤバイぞ……！！ 一瞬でも気を抜いたら死ぬ……！,70,1,normal,308796,308922,"左近衛大将ミカヅチ……
こいつ…マジでヤバイぞ……！！
一瞬でも気を抜いたら死ぬ……！","左近衛大将ミカヅチ……
こいつ…マジでヤバイぞ……！！
一瞬でも気を抜いたら死ぬ……！","左近衛大将ミカヅチ……
こいつ…マジでヤバイぞ……！！
一瞬でも気を抜いたら死ぬ……！",[],"좌근위대장　미카즈치……
이　자식…　진짜로　위험해……!!
방심하면　죽는다……!","獄恭仮域壱　影陰運越……
挨　一甘…　円極偉　仮境井……!!
殴噛圧延　恨位愛……!","좌근위대장　미카즈치……
이　자식…　진짜로　위험해……!!
방심하면　죽는다……!","獄恭仮域壱　影陰運越……
挨　一甘…　円極偉　仮境井……!!
殴噛圧延　恨位愛……!",1
この気迫…… さすがとしか言い様がないかな？ ……全力で迎え撃つ！！,70,1,normal,309178,309277,"この気迫……
さすがとしか言い様がないかな？
……全力で迎え撃つ！！","この気迫……
さすがとしか言い様がないかな？
……全力で迎え撃つ！！","この気迫……
さすがとしか言い様がないかな？
……全力で迎え撃つ！！",[],"이　기백……
감탄밖에　안　나오는군.
……전력으로　맞서겠다!!","挨　握岸……
汗殺算綾　貫　詠遺位改.
……鋭威園偉　儀溢間愛!!","이　기백……
감탄밖에　안　나오는군.
……전력으로　맞서겠다!!","挨　握岸……
汗殺算綾　貫　詠遺位改.
……鋭威園偉　儀溢間愛!!",1
うぅ…… こ、怖くないのです…… わ、わたしが相手になってやるのです！！,70,1,normal,309699,309804,"うぅ……
こ、怖くないのです……
わ、わたしが相手になってやるのです！！","うぅ……
こ、怖くないのです……
わ、わたしが相手になってやるのです！！","うぅ……
こ、怖くないのです……
わ、わたしが相手になってやるのです！！",[],"으……
무,　무섭지　않은　거예요……
내,　내가　상대해　주는　거예요!!","園……
異,　異樹移　慣宴　過距俄……
笠,　笠安　姐域井　遠位　過距俄!!","으……
무,　무섭지　않은　거예요……
내,　내가　상대해　주는　거예요!!","園……
異,　異樹移　慣宴　過距俄……
笠,　笠安　姐域井　遠位　過距俄!!",1
これがミカヅチ様の力…！！ 一瞬でも気が抜けない……！ 兄上、見ていて下さい……！！,70,1,normal,309926,310049,"これがミカヅチ様の力…！！
一瞬でも気が抜けない……！
兄上、見ていて下さい……！！","これがミカヅチ様の力…！！
一瞬でも気が抜けない……！
兄上、見ていて下さい……！！","これがミカヅチ様の力…！！
一瞬でも気が抜けない……！
兄上、見ていて下さい……！！",[],"이게　미카즈치　님의　힘…!!
방심할　수　없어……!
형님,　지켜봐　주세요……!!","挨映　影陰運越　攻哀　狭…!!
殴噛横　衣　緩羽……!
央攻,　移軍縮　遠禍俄……!!","이게　미카즈치　님의　힘…!!
방심할　수　없어……!
형님,　지켜봐　주세요……!!","挨映　影陰運越　攻哀　狭…!!
殴噛横　衣　緩羽……!
央攻,　移軍縮　遠禍俄……!!",1
あはははは！！ 最っ高や～！！ ごっつ盛り上がってきたで～♪ 最後まで楽しもうな～！！,70,1,normal,310287,310413,"あはははは！！　最っ高や～！！
ごっつ盛り上がってきたで～♪
最後まで楽しもうな～！！","あはははは！！　最っ高や～！！
ごっつ盛り上がってきたで～♪
最後まで楽しもうな～！！","あはははは！！　最っ高や～！！
ごっつ盛り上がってきたで～♪
最後まで楽しもうな～！！",[],"아하하하하!!　최고야~!!
완전　분위기　달아오른다~♪
끝까지　즐기자~!!","違圧圧圧圧!!　碍渦因~!!
給鋭　許仮握　荷違遺脚愛~♪
仰垣移　鎖握一~!!","아하하하하!!　최고야~!!
완전　분위기　달아오른다~♪
끝까지　즐기자~!!","違圧圧圧圧!!　碍渦因~!!
給鋭　許仮握　荷違遺脚愛~♪
仰垣移　鎖握一~!!",1
フッ…… この力…出来ればお相手したくないものですが…… 参ります！！,70,1,normal,310626,310728,"フッ……
この力…出来ればお相手したくないものですが……
参ります！！","フッ……
この力…出来ればお相手したくないものですが……
参ります！！","フッ……
この力…出来ればお相手したくないものですが……
参ります！！",[],"후……
이　힘…　되도록　상대하고　싶지　않지만……
가겠습니다!!","環……
挨　狭…　憶雨祈　姐域圧渦　検移　慣移菓……
安間隠依愛!!","후……
이　힘…　되도록　상대하고　싶지　않지만……
가겠습니다!!","環……
挨　狭…　憶雨祈　姐域圧渦　検移　慣移菓……
安間隠依愛!!",1
くっ……！ これ程の相手は久々だぞ！ しかし、いい女とは絶対にひかぬもの！！ こいっ！！,70,1,normal,310891,311020,"くっ……！
これ程の相手は久々だぞ！
しかし、いい女とは絶対にひかぬもの！！　こいっ！！","くっ……！
これ程の相手は久々だぞ！
しかし、いい女とは絶対にひかぬもの！！　こいっ！！","くっ……！
これ程の相手は久々だぞ！
しかし、いい女とは絶対にひかぬもの！！　こいっ！！",[],"크읏……!
이런　상대는　오랜만!
하지만,　좋은　여자는　물러서지　않아!!　덤벼라!!","岡紙……!
挨佐　姐域位　遺場菓!
圧移菓,　窟宴　各一位　忌暗溢移　慣違!!　才山悪!!","크읏……!
이런　상대는　오랜만!
하지만,　좋은　여자는　물러서지　않아!!　덤벼라!!","岡紙……!
挨佐　姐域位　遺場菓!
圧移菓,　窟宴　各一位　忌暗溢移　慣違!!　才山悪!!",1
フッ…… これぞ大一番……ってやつか…… 悪いが、本気で行かせてもらうじゃない！,70,1,normal,311398,311515,"フッ……
これぞ大一番……ってやつか……
悪いが、本気で行かせてもらうじゃない！","フッ……
これぞ大一番……ってやつか……
悪いが、本気で行かせてもらうじゃない！","フッ……
これぞ大一番……ってやつか……
悪いが、本気で行かせてもらうじゃない！",[],"후……
이야말로　승부처……라는　건가……
미안하지만,　진심으로　가겠어!","環……
挨因訓偉　何噂吸……悪位　虐安……
影貫圧移菓,　円噛園偉　安間羽!","후……
이야말로　승부처……라는　건가……
미안하지만,　진심으로　가겠어!","環……
挨因訓偉　何噂吸……悪位　虐安……
影貫圧移菓,　円噛園偉　安間羽!",1
ひぃ～！！ ミカヅチ殿～！！ 堪忍！！ 堪忍でおじゃるぅ～～！！,70,1,normal,311686,311781,"ひぃ～！！　ミカヅチ殿～！！
堪忍！！　堪忍でおじゃるぅ～～！！","ひぃ～！！　ミカヅチ殿～！！
堪忍！！　堪忍でおじゃるぅ～～！！","ひぃ～！！　ミカヅチ殿～！！
堪忍！！　堪忍でおじゃるぅ～～！！",[],"히이~!!　미카즈치　공~!!
살려　주시옵소서~~!!","蓋挨~!!　影陰運越　引~!!
輝闇　遠畏子怨溢~~!!","히이~!!　미카즈치　공~!!
살려　주시옵소서~~!!","蓋挨~!!　影陰運越　引~!!
輝闇　遠畏子怨溢~~!!",1
おう、サっちゃん！ 久々に手合わせしてみっか！ ……最初っから、本気で行かせてもらうぜ！！,70,1,normal,311918,312050,"おう、サっちゃん！
久々に手合わせしてみっか！
……最初っから、本気で行かせてもらうぜ！！","おう、サっちゃん！
久々に手合わせしてみっか！
……最初っから、本気で行かせてもらうぜ！！","おう、サっちゃん！
久々に手合わせしてみっか！
……最初っから、本気で行かせてもらうぜ！！",[],"오,　사짱!
오랜만에　한　판　해　볼까!
……처음부터　진심으로　간다!!","遺,　為廻!
遺場菓綾　易　建　井　広垣!
……吸暇噂会　円噛園偉　衛愛!!","오,　사짱!
오랜만에　한　판　해　볼까!
……처음부터　진심으로　간다!!","遺,　為廻!
遺場菓綾　易　建　井　広垣!
……吸暇噂会　円噛園偉　衛愛!!",1
ミカヅチ殿……こんなところで相まみえるとは…… 左近衛大将の実力、このムネチカが然と見極めよう！ いざ、参る！！,70,1,normal,312235,312400,"ミカヅチ殿……こんなところで相まみえるとは……
左近衛大将の実力、このムネチカが然と見極めよう！
いざ、参る！！","ミカヅチ殿……こんなところで相まみえるとは……
左近衛大将の実力、このムネチカが然と見極めよう！
いざ、参る！！","ミカヅチ殿……こんなところで相まみえるとは……
左近衛大将の実力、このムネチカが然と見極めよう！
いざ、参る！！",[],"미카즈치　공……　이런　곳에서　마주치다니……
좌근위대장의　실력,　이　무네치카가　가려　보겠다!
자,　간다!!","影陰運越　引……　挨佐　固綾溢　維遠越愛依……
獄恭仮域壱哀　含威,　挨　異拐越陰安　安闇　永間愛!
一,　衛愛!!","미카즈치　공……　이런　곳에서　마주치다니……
좌근위대장의　실력,　이　무네치카가　가려　보겠다!
자,　간다!!","影陰運越　引……　挨佐　固綾溢　維遠越愛依……
獄恭仮域壱哀　含威,　挨　異拐越陰安　安闇　永間愛!
一,　衛愛!!",1
ミカヅチ殿、これでいく度目の手合わせか…… いつになく凄まじい気迫だ。 某、此度の戦いも負けられはせぬ！ いざ参れ！！,70,1,normal,312652,312826,"ミカヅチ殿、これでいく度目の手合わせか……
いつになく凄まじい気迫だ。
某、此度の戦いも負けられはせぬ！　いざ参れ！！","ミカヅチ殿、これでいく度目の手合わせか……
いつになく凄まじい気迫だ。
某、此度の戦いも負けられはせぬ！　いざ参れ！！","ミカヅチ殿、これでいく度目の手合わせか……
いつになく凄まじい気迫だ。
某、此度の戦いも負けられはせぬ！　いざ参れ！！",[],"미카즈치　공,　이걸로　몇　번째인가……
오늘은　유난히　기세가　흉흉하군.
나　역시　이번　싸움만큼은!　덤벼라!!","影陰運越　引,　挨嫌偉　釈　幹期迂安……
遺旗宴　育鎌蓋　握禍安　伍伍圧改.
詠　脅畏　挨幹　係弓菓四宴!　才山悪!!","미카즈치　공,　이걸로　몇　번째인가……
오늘은　유난히　기세가　흉흉하군.
나　역시　이번　싸움만큼은!　덤벼라!!","影陰運越　引,　挨嫌偉　釈　幹期迂安……
遺旗宴　育鎌蓋　握禍安　伍伍圧改.
詠　脅畏　挨幹　係弓菓四宴!　才山悪!!",1
